normalized_handle,parent_brand
arena-wide-dressage-saddle,Arena
ariat,Ariat
ariat-anthem-venttek-h20-boots,Ariat
ariat-antique-silver-buckle,Ariat
ariat-antique-silver-gold-buckle,Ariat
ariat-armadillo-on-a-half-shell-t,Ariat
ariat-ascent-short-sleeve-baselayer,Ariat
ariat-auburn-1-4-zip-baselayer,Ariat
ariat-auburn-baselayer-performance-comfort,Ariat
ariat-authentic-logo-t,Ariat
ariat-b-fit-cap,Ariat
ariat-bag-for-all-your-gear,Ariat
ariat-ballston-cardigan-l,Ariat
ariat-bandana-light-pink,Ariat
ariat-bandana-navy,Ariat
ariat-bandana-red,Ariat
ariat-beanie-azulejo-navy-sea-salt,Ariat
ariat-beanie-uni-cable-windsor-wine,Ariat
ariat-bella-reversible-insulated-vest,Ariat
ariat-bi,Ariat
ariat-big-sky-freedom-t,Ariat
ariat-black-backpack-bag-for-carrying-luggage,Ariat
ariat-boys-linear-t,Ariat
ariat-bull-t,Ariat
ariat-cactus-roper-t,Ariat
ariat-chimayo-jacquard-shirt-jacket,Ariat
ariat-cobalt-black-bag,Ariat
ariat-concord-chap-black,Ariat
ariat-cool-grip-gloves-black-uni,Ariat
ariat-cooler-pink,Ariat
ariat-cotton-print-cap,Ariat
ariat-crew-socks-3-pack,Ariat
ariat-diamond-valley-t,Ariat
ariat-dream-mulberry-ls-girls-tee-shirt,Ariat
ariat-duraterrain-h20,Ariat
ariat-duraterrain-h20-mens-boots,Ariat
ariat-durayard-h20-ladies-boots,Ariat
ariat-durayard-h20-mens-boots,Ariat
ariat-eos-2-0-full-seat-s24-black-ladies-tights,Ariat
ariat-eos-2-0-full-seat-s24-navy-eclipse-ladies,Ariat
ariat-eos-full-seat-tight,Ariat
ariat-eos-full-seat-tights,Ariat
ariat-farm-animal-tee,Ariat
ariat-fishing-shirts-western-muster-mens,Ariat
ariat-gear-bag,Ariat
ariat-gls-real-dreamin-mood-ls-shirt,Ariat
ariat-halo-denim-full-grip-seat-breeches,Ariat
ariat-hansford-unisex-navy-beanie,Ariat
ariat-hazen-western-boots,Ariat
ariat-hd-logo-t,Ariat
ariat-headband-uni-entwine-sleet-heather,Ariat
ariat-herdsman-square-toe-western-boots,Ariat
ariat-heritage-brown-ladies-roper-boots,Ariat
ariat-heritage-contour-field-boots,Ariat
ariat-heritage-contour-field-boots-ladies,Ariat
ariat-heritage-contour-ladies-field-boots,Ariat
ariat-heritage-d-toe-stretch-fit-boots,Ariat
ariat-heritage-distressed-brown-ladies-western-boots,Ariat
ariat-heritage-iii-zip-ladies-paddock-boots,Ariat
ariat-heritage-iv-zip-ladies-boots,Ariat
ariat-heritage-iv-zip-paddock-boots,Ariat
ariat-heritage-lace-iv-black-ladies-boots,Ariat
ariat-heritage-lacer-ii,Ariat
ariat-heritage-roper,Ariat
ariat-heritage-roper-kids-boots,Ariat
ariat-heritage-roper-mens-boots,Ariat
ariat-heritage-zip-iv-h20-black-ladies-boots,Ariat
ariat-heritage-zip-iv-paddock-boots,Ariat
ariat-junior-gear-bag,Ariat
ariat-kelston-unisex-beanie,Ariat
ariat-kids-3d-logo-hoodie-violet,Ariat
ariat-kids-buckaroo-blaze,Ariat
ariat-kids-emma-insulated-reversible-vest,Ariat
ariat-kids-fishing-shirt-helimuster,Ariat
ariat-kids-sunstopper-2-0-1-4-zip,Ariat
ariat-kids-sunstopper-2-0-good-show-print,Ariat
ariat-ladies-hoyden-cap,Ariat
ariat-ladies-kirby-stretch-shirt,Ariat
ariat-ladies-polo-top,Ariat
ariat-ladies-portland,Ariat
ariat-laguna-logo-top,Ariat
ariat-large-black-gear-bag,Ariat
ariat-large-cobalt-black-gear-bag,Ariat
ariat-large-gear-bag,Ariat
ariat-large-pink-charcoal-luggage-gear-bag,Ariat
ariat-large-turquoise-brown-gear-bag,Ariat
ariat-lets-ride-t,Ariat
ariat-lowell-2-0-1-4-zip-baselayer,Ariat
ariat-lumina-w23-ebony-ladies-jacket,Ariat
ariat-m4-stretch-straight-leg-augustus-jean,Ariat
ariat-mens-ambush-distressed-brown-boots,Ariat
ariat-mens-booker-ultra-rt-western-boot,Ariat
ariat-mens-duraterrain-h2o-boots,Ariat
ariat-mens-heritage-iv-zip-paddock-boots,Ariat
ariat-mens-heritage-roper-boots,Ariat
ariat-mens-heritage-roper-wide-square-toe-boots,Ariat
ariat-mens-heritage-stockman,Ariat
ariat-mens-ideal-down-jacket-charcoal-heather-l,Ariat
ariat-mens-m4-stretch-malone-straight-leg-jean,Ariat
ariat-mens-ralley,Ariat
ariat-mens-sport-booker-distress-tan-wst,Ariat
ariat-mens-sport-wide-square-toe-boot,Ariat
ariat-mens-sport-wide-square-toe-boots,Ariat
ariat-mens-stanbroke-bark-boots,Ariat
ariat-mens-stanbroke-boots,Ariat
ariat-mens-team-vest-charcoal-heather,Ariat
ariat-mens-wf-wayne-classic-ls-shirt,Ariat
ariat-mens-workhog-wide-square-toe-h2o-boots,Ariat
ariat-mexicali-t,Ariat
ariat-mini-carry-all-navy,Ariat
ariat-mns-turbo-pull,Ariat
ariat-new-team-softshell-jacket,Ariat
ariat-old-school-script-tee,Ariat
ariat-polo-team-black-ss,Ariat
ariat-polo-team-navy-ss,Ariat
ariat-postcard-tee,Ariat
ariat-prelude-2-0-youth-breeches,Ariat
ariat-prix-2-0-polo,Ariat
ariat-pvc-gear-bag,Ariat
ariat-r-e-a-l-mid-rise-boot-cut-jeans,Ariat
ariat-r-e-a-l-mid-rise-candace-jeans,Ariat
ariat-real-denim-mid-rise-boot-cut,Ariat
ariat-real-logo-t,Ariat
ariat-real-saguaro-t,Ariat
ariat-real-sundown-t,Ariat
ariat-ring-back-pack,Ariat
ariat-rockdale-almond-buff-ladies-western-boots,Ariat
ariat-roper-boots-heritage-wide-square-toe-brown-mens,Ariat
ariat-ropers-delight-t,Ariat
ariat-ropers-seal-t,Ariat
ariat-rwb-t,Ariat
ariat-shade-t,Ariat
ariat-signature-cap-navy-white,Ariat
ariat-sport-booker-western-boots,Ariat
ariat-stanbroke-black-mens-boots,Ariat
ariat-stanbroke-chestnut-mens-boots,Ariat
ariat-stanbroke-mens-boots,Ariat
ariat-sunstopper-1-4-zip-2-0-blue-yonder,Ariat
ariat-sunstopper-2-0,Ariat
ariat-sunstopper-2-0-1-4-zip,Ariat
ariat-sunstopper-2-0-1-4-zip-burnt-sienna,Ariat
ariat-sunstopper-2-0-1-4-zip-silver-dot,Ariat
