shopify_id,handle,title,old_canonical,new_canonical,redirect_required,redirect_from,redirect_to,category_path,parent_categories,brand_pages,status,error_message
gid://shopify/Product/10176952533284,mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-star,Mountain Creek Jewellery Stirling Silver Necklace with Yellow Gold Plated Cubic Zircona Star,/products/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-star,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-star,1,/products/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-star,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-star,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952598820,mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-horseshoe,Mountain Creek Jewellery Stirling Silver Necklace with Yellow Gold Plated Cubic Zircona Horseshoe,/products/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-horseshoe,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-horseshoe,1,/products/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-horseshoe,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-yellow-gold-plated-cubic-zircona-horseshoe,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952631588,mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-horseshoe,Mountain Creek Jewellery Stirling Silver Necklace with Cubic Zircona Horseshoe,/products/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-horseshoe,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-horseshoe,1,/products/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-horseshoe,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-cubic-zircona-horseshoe,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952664356,mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-horseshoe,Mountain Creek Jewellery Stirling Silver Necklace with Rose Gold Plated Cubic Zircona Horseshoe,/products/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-horseshoe,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-horseshoe,1,/products/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-horseshoe,/rider/jewellery/necklaces/mountain-creek-jewellery-stirling-silver-necklace-with-rose-gold-plated-cubic-zircona-horseshoe,/rider/jewellery/necklaces,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952697124,ariat-mens-workhog-wide-square-toe-h2o-bruin-brown-coffee,Ariat Mens Workhog Wide Square Toe H2O Bruin Brown/Coffee,/clothing/footwear/mens/ariat-mens-workhog-wide-square-toe-h2o-bruin-brown-coffee,/clothing/footwear/casual/ariat-mens-workhog-wide-square-toe-h2o-bruin-brown-coffee,1,/clothing/footwear/mens/ariat-mens-workhog-wide-square-toe-h2o-bruin-brown-coffee,/clothing/footwear/casual/ariat-mens-workhog-wide-square-toe-h2o-bruin-brown-coffee,/clothing/footwear/casual,"[""/clothing/footwear"",""/clothing""]","[""/brands/ariat""]",success,
gid://shopify/Product/10176952729892,mountain-creek-jewellery-12mm-pearl-stud-earrings,Mountain Creek Jewellery 12mm Pearl Stud Earrings,/products/mountain-creek-jewellery-12mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-12mm-pearl-stud-earrings,1,/products/mountain-creek-jewellery-12mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-12mm-pearl-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952795428,mountain-creek-jewellery-4mm-pearl-stud-earrings,Mountain Creek Jewellery 4mm Pearl Stud Earrings,/products/mountain-creek-jewellery-4mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-4mm-pearl-stud-earrings,1,/products/mountain-creek-jewellery-4mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-4mm-pearl-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952828196,mountain-creek-jewellery-5mm-pearl-stud-earrings,Mountain Creek Jewellery 5mm Pearl Stud Earrings,/products/mountain-creek-jewellery-5mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-5mm-pearl-stud-earrings,1,/products/mountain-creek-jewellery-5mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-5mm-pearl-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952860964,mountain-creek-jewellery-9mm-pearl-stud-earrings,Mountain Creek Jewellery 9mm Pearl Stud Earrings,/products/mountain-creek-jewellery-9mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-9mm-pearl-stud-earrings,1,/products/mountain-creek-jewellery-9mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-9mm-pearl-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952893732,mountain-creek-jewellery-7mm-pearl-stud-earrings,Mountain Creek Jewellery 7mm Pearl Stud Earrings,/products/mountain-creek-jewellery-7mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-7mm-pearl-stud-earrings,1,/products/mountain-creek-jewellery-7mm-pearl-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-7mm-pearl-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952926500,mountain-creek-jewellery-sterling-silver-unicorn-stud-earrings,Mountain Creek Jewellery Sterling Silver Unicorn Stud Earrings,/products/mountain-creek-jewellery-sterling-silver-unicorn-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-unicorn-stud-earrings,1,/products/mountain-creek-jewellery-sterling-silver-unicorn-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-unicorn-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176952992036,mountain-creek-jewellery-sterling-silver-horse-stud-earrings,Mountain Creek Jewellery Sterling Silver Horse Stud Earrings,/products/mountain-creek-jewellery-sterling-silver-horse-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-horse-stud-earrings,1,/products/mountain-creek-jewellery-sterling-silver-horse-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-horse-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176953024804,mountain-creek-jewellery-sterling-silver-new-unicorn-stud-earrings,Mountain Creek Jewellery Sterling Silver New Unicorn Stud Earrings,/products/mountain-creek-jewellery-sterling-silver-new-unicorn-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-new-unicorn-stud-earrings,1,/products/mountain-creek-jewellery-sterling-silver-new-unicorn-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-new-unicorn-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176953057572,mountain-creek-jewellery-sterling-silver-snaffle-huggie-earring,Mountain Creek Jewellery Sterling Silver Snaffle Huggie Earring,/products/mountain-creek-jewellery-sterling-silver-snaffle-huggie-earring,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-snaffle-huggie-earring,1,/products/mountain-creek-jewellery-sterling-silver-snaffle-huggie-earring,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-snaffle-huggie-earring,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176953123108,mountain-creek-jewellery-sterling-silver-horse-head-stud-earrings,Mountain Creek Jewellery Sterling Silver Horse Head Stud Earrings,/products/mountain-creek-jewellery-sterling-silver-horse-head-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-horse-head-stud-earrings,1,/products/mountain-creek-jewellery-sterling-silver-horse-head-stud-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-horse-head-stud-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
gid://shopify/Product/10176953188644,mountain-creek-jewellery-sterling-silver-horse-in-horseshoe-earrings,Mountain Creek Jewellery Sterling Silver Horse in Horseshoe Earrings,/products/mountain-creek-jewellery-sterling-silver-horse-in-horseshoe-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-horse-in-horseshoe-earrings,1,/products/mountain-creek-jewellery-sterling-silver-horse-in-horseshoe-earrings,/rider/jewellery/earrings/mountain-creek-jewellery-sterling-silver-horse-in-horseshoe-earrings,/rider/jewellery/earrings,"[""/rider/jewellery"",""/rider""]",[],success,
