Product Type,Count,Sample Products,Collections
"Clothing - Men's Clothing",63,"cavalleria-toscana-mens-club-zip-jacket; cavalleria-toscana-mens-tails-line-frack; cavalleria-toscana-mens-tech-knit-bomber; cavalleria-toscana-mens-gp-riding-jacket; cavalleria-toscana-mens-compression-breeches","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); breeches (Horse Riding Breeches - Quality International & National Brands); horse-boots (Horse Boots - All Types); samshield (Shop Samshield Helmets & Equestrian Products)"
"Cat Food & Treats",63,"a-la-carte-cat-salmon-rice-2-5kg; blackcat-cat-treat-chicken-delites-60gm; blackcat-cat-treat-fish-delites-60gm; blackcat-cat-treat-lamb-delites-60gm; blackcat-cat-treat-ocean-fish-30gm","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"Helmet",58,"aramis-riding-helmet; charles-owen-halo-gloss; charles-owen-halo-matte; kask-helmet-inner-padding; kask-lateral-inserts","horse-riding-helmets (Buy Horse Riding Helmets For Equestrians); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); samshield (Shop Samshield Helmets & Equestrian Products)"
"Hats & Accessories",57,"resistol-ride-safe-helmet-straw; toptac-english-hat-box-accessories-brown; toptac-english-hat-box-accessories-tan; hat-cleaning-sponges-pack-of-2; toptac-western-accessories-box-for-hat-can-black","horse-riding-helmets (Buy Horse Riding Helmets For Equestrians); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete)"
"Boots",56,"ariat-duraterrain-h20-mens; ariat-durayard-h20-ladies; ariat-duraterrain-h20-ladies; ariat-durayard-h20-mens; action-all-purpose-equestrian-boot","footwear (Horse Riding Boots & Footwear, Trainers, Workers); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ego-7 (Ego 7); saddle-pads (Saddle Blankets, Pads & Squares); elt (ELT  Equestrian); accessories (Accessories); horse-boots (Horse Boots - All Types); vivarchie-equestrian (Vivarchie Equestrian); dapple-eq (Dapple EQ)"
"Dog Walking",56,"coralpina-cinquetorri-waste-bag-black; coralpina-cinquetorri-waste-bag-electric-blue; coralpina-cinquetorri-waste-bag-fluro-pink; coralpina-cinquetorri-waste-bag-light-grey; coralpina-cinquetorri-waste-bag-red-wine","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); accessories (Accessories); luggage (Luggage For The Horse Rider)"
"Accessories",51,"pei-kevlar-airtechnology-tendon-boots; sd-design-rose-scrunchie; hamag-leather-number-holder-for-saddle-pad-brown; sd-design-divine-scrunchie; sd-design-pastel-pearl-scrunchie","horse-boots (Horse Boots - All Types); vivarchie-equestrian (Vivarchie Equestrian); globo_basis_collection (Globo basis collection - Do not delete); dapple-eq (Dapple EQ); horse-grooming-supplies (Horse Grooming Gear & Accessories); horse-health (Horse Health & Nutrition); ponyjet (Ponyjet); the-equestrian (The Equestrian); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); on-sale (On Sale - Discount On The Best Brands & Gear); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); strapping (Bridles & Strapping - Top Brands For All Disciplines); shire-saddleworld (Shire Saddleworld); gifts (Horse & Equine Gifts); ariat (Shop & Buy Ariat Clothing & Footwear); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"HORSE: Lungeing & Schooling",51,"chambon-martingale-black; chambon-elastic-neck-stretcher-zilco; core-master-pad; crupper-riding-brown-pony; driving-rein-leather-brown-pair-20ft","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories); strapping (Bridles & Strapping - Top Brands For All Disciplines); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Pet",51,"credelio-for-very-small-dogs-pink-2-5-5-5kg-3-pack; credelio-for-very-small-dogs-pink-2-5-5-5kg-6-pack; credelio-for-medium-dogs-green-11-22kg-6-pack; credelio-for-large-dogs-blue-22-45kg-6-pack; credelio-for-small-dogs-orange-5-5-11kg-3-pack","pets (Pets - Products For Dogs, Cats, & Other Small Animals); globo_basis_collection (Globo basis collection - Do not delete); gifts (Horse & Equine Gifts)"
"Belts",50,"animo-hore-belt; pampeano-audaz-argentinian-polo-belt; pampeano-ceibo-aregentinia-polo-belt; pampeano-roca-argentinian-polo-belt; animo-hetic-belt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); dyon (Shop Dy'On European Classic Equestrian Gear); shire-saddleworld (Shire Saddleworld); tacklet (Tacklet)"
"RIDER: Gloves",50,"ariat-gloves-cool-grip-black-uni; ariat-gloves-tek-grip-black; gloves-pimple-cotton-showmaster-black; gloves-rainbow-magic-adult; gloves-tacky-black-grey","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Gloves",49,"cavalleria-toscana-tech-grip-gloves; noble-perfect-fit-mesh-gloves; roeckl-lona-glove; roeckl-lynn-glove; roeckl-grip-glove-winter","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); accessories (Accessories); samshield (Shop Samshield Helmets & Equestrian Products); strapping (Bridles & Strapping - Top Brands For All Disciplines); jp-equestrian-fashion (JP Equestrian Fashion); top-brands (Top Brands); elt (ELT  Equestrian); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); tacklet (Tacklet)"
"HORSE: Stock & Western",49,"draw-reins-oregon-running-all-leather-black; draw-reins-oregon-running-leather-rope-black; eurohunter-girth-western-gel-black; eurohunter-girth-western-gel-brown; fort-worth-barrel-racing-felt-saddle-pad-30-turquoise","strapping (Bridles & Strapping - Top Brands For All Disciplines); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); stirrups (Shop Horse Riding Stirrups & Leathers); zilco (Shop Zilco Rugs, Horse Boots & Accessories); luggage (Luggage For The Horse Rider); accessories (Accessories)"
"RUGS: Summer Rugs, Neck Rugs & Hoods",48,"canvas-neck-rug-unlined-eurohunter-gladiator; earlwood-dual-season-fleece-lined-rug; eurohunter-airflow-hood; eurohunter-airflow-neck-rug; eurohunter-airflow-combo","horse-rugs (Horse Rugs - All Types); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); base-layers (Shop Horse Riding Base Layers); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"RIDER: Luggage",48,"luggage-backpack-ariat-cobalt-black; luggage-backpack-ariat-ring-black; luggage-boot-bag-ariat-team-navy; luggage-bridle-bag-bling; luggage-bridle-bag-with-hooks-black","ascot-saddlery (Ascot Saddlery); luggage (Luggage For The Horse Rider); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); footwear (Horse Riding Boots & Footwear, Trainers, Workers); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Halter",47,"kentucky-control-halter; kentucky-leather-anatomic-halter; kentucky-nylon-sheepskin-halter; sheepskin-shipping-halter; cavallo-helia-fleece-halter","horse-halters (Shop Horse Halters); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); shire-saddleworld (Shire Saddleworld); tacklet (Tacklet)"
"RIDER: Helmets",47,"aramis-lamicell-helmet-black; aussie-rider-helmet-black; aussie-rider-helmet-white; eurohunter-helmet-freedom-light-black; eurohunter-helmet-renmark-black","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); horse-riding-helmets (Buy Horse Riding Helmets For Equestrians); on-sale (On Sale - Discount On The Best Brands & Gear); the-barbie-collection (The Barbie Collection)"
"STABLE: Leather Care & Proofing",47,"australian-oilskin-reproofing-spray-375ml; bates-leather-balsam-90gm; cdm-belvoir-leather-balsam-intensive-conditioner-500ml; cdm-belvoir-tack-cleaner-alum-spray-500ml; cdm-belvoir-tack-conditioner-bar-250gm","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-bandages (Leg Wraps & Bandages For Your Horse Or Pony); horse-grooming-supplies (Horse Grooming Gear & Accessories); luggage (Luggage For The Horse Rider)"
"Dog Wormer & Flea",46,"advantage-dog-10kg-25kg-large-4-pack; advantage-dog-medium-4-pack; advantage-seresto-puppy-under-8kg; advantage-seresto-dog-over-8kg; advantix-dog-10kg-25kg-large-red-3-pack","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories)"
