Product Type,Count,Sample Products,Collections
"Strapping - Reins",9,"equipe-emporio-rubber-grip-reins; equipe-emporio-rubber-grip-reins-with-notches-ree04; equipe-half-rubber-grip-reins-re18; equipe-emporio-web-reins-ree03; equipe-rolled-dressage-reins-4-8-re16","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); equipe (Shop Equipe); globo_basis_collection (Globo basis collection - Do not delete); thinline-global-australia (Shop Thinline Global Australia)"
"Horse Supplements",9,"in-force-mycotoxin-binder-for-horses; in-fibre-psyllium-husk-for-horses-dogs-cats; in-fusion-ha-high-quality-hyaluronic-acid-supplement-for-horses-dogs; in-fusion-msm-ultra-pure-methylsulfonylmethane-joint-supplement-for-horses-dogs-cats; in-sideout-horse-pre-probiotic-nutraceutical-gut-health-supplement-for-horse-ponies","horse-health (Horse Health & Nutrition); eac-animal-care (EAC Animal Care); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals); cavalor-equicare (Cavalor Equicare); precision-microbes (Precision Microbes)"
"Tall Boots",9,"cavallo-boot-bag; cavallo-boxcalf-spur-straps; cavallo-heel-wedges; cavallo-leather-spur-straps; cavallo-linus-slim-jumping-boots-in-stock","footwear (Horse Riding Boots & Footwear, Trainers, Workers); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); shire-saddleworld (Shire Saddleworld)"
"Poultry",9,"aristopet-poultry-wormer-125ml; green-valley-poultry-open-range-starter-grower-mash-10kg; green-valley-pullet-grower-crumbles-5kg; green-valley-pullet-starter-crumbles-5kg; peters-dried-meal-worms-for-poultry-birds-100gm","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"STABLE: Ice Boots",9,"cold-hot-tendon-therapy-boots; cryochaps-back-pack-cooler-1; cryochaps-absolute-ice-wrap-pastern-hocks-knees-pair; cryochaps-k2f-ice-wrap-pair-front; cryochaps-k2f-ice-wrap-pair-hind","horse-boots (Horse Boots - All Types); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Hair Accessory",9,"equestrian-scrunchie-cream; equestrian-scrunchie-navy-and-white; equestrian-scrunchie-navy; equestrian-scrunchie-black-and-pink; equestrian-scrunchie-green","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); globo_basis_collection (Globo basis collection - Do not delete); ippico-equestrian (Ippico Equestrian)"
"Strapping - Martingales",8,"equipe-emporio-martingale-bpe16; equipe-martingale-single-fork-rings-only-bp10; equipe-martingale-bib-soft-leather-insert; equipe-martingale-bib-bp06; equipe-patent-detail-martingale-bp16","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); equipe (Shop Equipe); globo_basis_collection (Globo basis collection - Do not delete); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Ladies Clothing",8,"bare-equestrian-performance-tights-miami-twist; samshield-alta-badia-down-vest; ariat-real-saguaro-t-shirt; cavalleria-toscana-honeycomb-crew-neck-knit; bare-technical-riding-shirt-midweight","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); bare-equestrian (Shop BARE Equestrian Apparel & Gear); globo_basis_collection (Globo basis collection - Do not delete); samshield (Shop Samshield Helmets & Equestrian Products); ariat (Shop & Buy Ariat Clothing & Footwear); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear); accessories (Accessories); breeches (Horse Riding Breeches - Quality International & National Brands)"
"Clothing Accessories",8,"kids-sunbody-cattleman; samshield-balzane-airflow-sock-print; show-quest-adara-ready-tied-stock; show-quest-regency-i-stock; sunbody-reata-iii","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); gifts (Horse & Equine Gifts); samshield (Shop Samshield Helmets & Equestrian Products); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); accessories (Accessories)"
"saddles",8,"acavallo-memory-foam-wool-half-pad; acavallo-gel-pad-front-riser; equipe-grand-prix-jump-saddle; equipe-performance-special-jump-saddle; prestige-x-d2-k-free-lux","saddle-pads (Saddle Blankets, Pads & Squares); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); acavallo (Shop Acavallo Horse Riding Essentials); saddles (Saddles For All Disciplines); equipe (Shop Equipe); prestige (Shop Prestige Saddles, Bridles & Equestrian Gear)"
"Earrings",8,"bling-rhinestone-horse-hair-tassle-earrings-fuchsia-made-using-real-horsehair; horsehair-hoop-earrings; turquoise-western-cow-girl-earrings-2; sterling-silver-heart-resin-stud-earrings; sterling-silver-and-resin-drop-earrings-style-3","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Ladies Shirt",8,"cavallo-daiva-short-sleeve-competition-shirt; cavallo-dalia-short-sleeve-competition-shirt; cavallo-dikra-short-sleeve-shirt; ghodho-cora-upf-base-layer-white; cavallo-freda-ladies-polo-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); base-layers (Shop Horse Riding Base Layers)"
"Hats",8,"cavallo-drissa-cap; cavallo-edita-knitted-beanie; will-bear-calloway-bone; powder-river-mink; cattleman-fawn","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); dapple-eq (Dapple EQ); shire-saddleworld (Shire Saddleworld)"
"Riding Pants",8,"cavallo-lin-grip-riding-leggings-youth; black-denim-bootleg-riding-jeans; coolmax-grey-breeches-with-phone-pockets; riding-tights-in-navy-sizes-6-to-28; riding-tights-in-wisteria","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); plum-tack (Plum Tack - Quality Australia Riding Apparel & Clothing); breeches (Horse Riding Breeches - Quality International & National Brands)"
"Horse Grooming",8,"epona-grooming-flexible-glossy-groomer; epona-grooming-shed-flower-shedding-tool; hairy-pony-hair-repair; tigers-tongue-sponge; the-pony-jet-3-0-ultimate-in-equine-grooming","little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories); hairy-pony (Shop Hairy Pony Grooming Products); on-sale (On Sale - Discount On The Best Brands & Gear); ponyjet (Ponyjet); the-equestrian (The Equestrian); horse-queened (HORSE QUEENED); horse-health (Horse Health & Nutrition)"
"breeches",8,"animo-nersus-ladies-breeches; animo-niping-ladies-breeches; bella-breech; competition-bella-breech-white; emily-denim-breech","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); breeches (Horse Riding Breeches - Quality International & National Brands); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear); little-equine-co (Little Equine Co)"
"CLOTHING: Casual Clothing Ladies",8,"ariat-beanie-uni-azulejo-navy-sea-salt; ariat-beanie-uni-cable-eurasian-teal; ariat-beanie-uni-cable-windsor-wine; bare-equestrian-hollie-jacket-1; bare-equestrian-evie-headband-shield","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"SADDLES: Jumping Saddles",8,"bates-advanta-jumping-saddle-cair-classic-black-43cm-17-0; prestige-x-meredith-lux-jumping-saddle-tobacco-17; arena-jump-saddle-brown; arena-jump-saddle-black; thorowgood-t8-pony-jump-saddle-black-15-5","saddles (Saddles For All Disciplines); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Feeding",8,"hay-bag-feeder-pvc-mesh-turquoise; gen-packs-seaweed-meal; crooked-lane-harvest-garlic-granules; crooked-lane-harvest-turmeric; gen-packs-brewers-yeast-1kg","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Gel & Comfort Pads",8,"grainge-balance-pad-cream-large; active-soft-gel-anti-slip-pad-1; acavallo-shaped-front-riser-alternate-transparent; acavallo-air-release-gel-pad-clear; air-release-shock-absorb-gel-pad-clear","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); acavallo (Shop Acavallo Horse Riding Essentials)"
"Ear Bonnet",8,"ps-of-sweden-bow-fly-hat-thyme; psos-bow-fly-hat-ombre-plum; kentucky-flyveil-wellington-velvet-emerald; kentucky-flyveil-wellington-velvet-mustard; woof-wear-ergonomic-bonnet","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Jump Saddle",8,"pessoa-legacy-excel; pessoa-vivaldi; bates-pony-elevation-cair; arena-jump; trainers-master-gp-black-17-5","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Stock & Western Reins",8,"braided-reins; forked-reins-black; pony-reins-pink-4-122cm; flat-braid-split-reins-black-76; stockmans-reins-6-loop-end","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); eurohunter (Shop Eurohunter Equestrian Gear & Accessories); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Vet Supplies",8,"valueplus-equitex-medicated-poultice; prazivec-all-wormer-gel-6-42g; melolin-dressing-pad-10x20-single; virbac-strategy-t-worming-paste; maxoplast-adhesive-bandage","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Womens Jeans",8,"cinch-ladies-lynden-harmony-jeans-mj81454071; penny-rodeo-womens-high-rise-bootleg-jean; wrangler-wmns-ultimate-riding-jean-q-baby-booty-up; ariat-ultra-stretch-perfect-rise-skinny-sidewinder; grace-in-la-womens-easy-fit-steerhead-boot-cut-jeans","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); ariat (Shop & Buy Ariat Clothing & Footwear)"
"Wallets & Handbags",8,"pure-western-alison-wallet-chocolate; ariat-mini-carry-all-navy; tc-cootamundra-passport-wallet-tan; tc-cootamundra-zip-snap-wallet-tan; cowhide-travel-bag-australia-ca-weekender","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); ariat (Shop & Buy Ariat Clothing & Footwear); gifts (Horse & Equine Gifts)"
"Number Holders",8,"round-leather-bridle-number-holders-pair; round-leather-saddle-cloth-number-holders-pair; round-patent-leather-saddle-cloth-number-holders-pair; pony-leather-bridle-number-holders-pair; patent-leather-bridle-number-holders-pair","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Strapping - Bridles - Bridle Accessories",7,"ca-performers-ear-bonnet-soundless; equipe-bling-browband-br58; equipe-gag-cheeks; equipe-raised-grackle-noseband; kentucky-horsewear-brass-plate","horse-health (Horse Health & Nutrition); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); strapping (Bridles & Strapping - Top Brands For All Disciplines); equipe (Shop Equipe); horse-bits (Shop & Buy Horse Bits - Quality Brands - All Types); horse-halters (Shop Horse Halters); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); thinline-global-australia (Shop Thinline Global Australia)"
"t-shirt",7,"animo-curt-mens-casual-t-shirt; cavallo-delara-t-shirt; cavallo-dorit-t-shirt; cavallo-dulce-yng-youth-t-shirt; animo-femont-ladies-t-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); anna-scarpati (Shop Anna Scarpati)"
"Key Chain Clip",7,"always-in-my-heart-braided-bling-horsehair-key-bag-clip; keyring-sun-catcher-multi-faceted-custom-made-with-horsehair-and-horseshoe; leather-and-stainless-steel-horsehair-keyring-fob; stainless-steel-cat-dog-paw-hair-keepsake-keyring; stainless-steel-horsehair-keepsake-keyring","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika); globo_basis_collection (Globo basis collection - Do not delete); footwear (Horse Riding Boots & Footwear, Trainers, Workers); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"Stirrups and leathers",7,"equipe-jump-stirrup-irons; freejump-softup-pro-premium; freejump-softup-pro-premium-edition; prestige-a33-stephi-stirrup-2-0; stirrup-iron-covers","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); stirrups (Shop Horse Riding Stirrups & Leathers); freejump (Shop FreeJump Stirrups & FreejumpSystem Range); on-sale (On Sale - Discount On The Best Brands & Gear); prestige (Shop Prestige Saddles, Bridles & Equestrian Gear)"
"long socks",7,"cavallo-safira-lux-ladies-long-socks; cavallo-selma-functional-sock; cavallo-sheena-functional-sock; cavallo-success-clover-functional-socks; cavallo-success-dog-functional-socks","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Fly Mask",7,"rambo-flymask-plus-vamoose; bucus-fly-masks; kentucky-fly-mask-pro; kentucky-fly-mask-slim; kentucky-slim-fit-fly-mask","horse-health (Horse Health & Nutrition); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete); horse-rugs (Horse Rugs - All Types); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More)"
"Paddock Blades",7,"paddock-blade-horse-manure-collector-mellow-yellow-premium-australian-made-free-delivery; paddock-blade-horse-manure-collector-cherry-red-premium-australian-made-free-delivery; paddock-blade-horse-manure-collector-hot-pink-premium-australian-made-free-delivery; paddock-blade-horse-manure-collector-gator-green-premium-australian-made-free-delivery; paddock-blade-horse-manure-collector-plum-purple-premium-australian-made-free-delivery","globo_basis_collection (Globo basis collection - Do not delete); paddock-blade (Shop Paddock Blade)"
"Stock & Western Pads",7,"mini-western-pad-19-x-19-assorted-colours; barrel-air-cell-pad-turquoise; zilco-puffer-pad; trapezius-pad; texas-tack-contoured-pad-32x34","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories)"
"Spurs and Spur Straps",7,"grainge-leather-stitched-spur-straps; mcalister-leather-spur-straps; english-spur-strap; landsborough-english-spur-strap-black; eurohunter-synthetic-spur-straps","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Toys",7,"breyer-freedom-delux-country-stable-w-horse-wash-stall; breyer-stablemates-poetry-in-motion-gift-set; breyer-stablemates-deluxe-horse-collection; breyer-freedom-jet-english-rider-charlotte-1; breyer-freedom-national-velvet-horse-book-set","globo_basis_collection (Globo basis collection - Do not delete); gifts (Horse & Equine Gifts); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Hanoverian Bridle",7,"abigail-black-italian-leather-bridle-no-reins; arabella-italian-leather-bridle-hanoverian-no-reins; rose-gold-glamour-bridle; anti-pressure-comfort-padded-bridle-with-diamontes-and-white-padding; amie-rolled-italian-leather-bridle-hanoverian-no-reins","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Horse Rugs - Rug Accessories",6,"kentucky-rug-tail-cord; kentucky-sheepskin-rug-bib-chest-protection; kentucky-horsewear-horse-bib-waterproof; kentucky-sheepskin-rug-bib-wither-protection; kentucky-horsewear-horse-bib-summer","horse-rugs (Horse Rugs - All Types); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Strapping - Breast Plates",6,"equipe-breast-plate-bp04; equipe-5-point-breast-plate-bp12; equipe-breast-plate-bp08; equipe-breast-plate-with-elastic-bp21; equipe-emporio-y-breast-plate-bpe15","strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); equipe (Shop Equipe); globo_basis_collection (Globo basis collection - Do not delete)"
"jacket",6,"animo-lenz-blazer-jacket; animo-lud-ladies-competition-jacket-with-swarovski; amelia-competition-jacket; anna-competition-jacket; georgia-competition-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); animo (Shop Animo Equestrian Gear); qj-riding-wear (QJ Riding Wear)"
"Cap",6,"dapple-eq-cap; animo-vers-cap; cavallo-shadow-cap; cavallo-festina-cap; cavallo-rhinestone-cap","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); jnk-collective (JNK Collective)"
"Pendants",6,"p21-penny-coin-pendant-commonwealth; ss30-double-solid-stirrup-pendant; p10-penny-coin-pendant-kangaroo; ss23-medium-solid-stirrup; horseshoe-memorial-keepsake-with-horsehair","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete); living-horse-tales-jewellery-by-monika (Living Horse Tales Jewellery By Monika)"
"breastplate",6,"dyon-d-collection-brown-breastplate; dyon-d-collection-elastic-running-martingale-attachment-full-brown; dyon-d-collection-running-martingale-attachment-brown-full; working-by-dyon-breastplate-brown; working-by-dyon-running-martingale-attachment","strapping (Bridles & Strapping - Top Brands For All Disciplines); little-equine-co (Little Equine Co); dyon (Shop Dy'On European Classic Equestrian Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Sweater",6,"animo-riger-sweater; animo-salimar-ladies-sweater; animo-silvan-ladies-sweater; animo-ledro-ladies-sweatshirt; luci-knit","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete); horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); qj-riding-wear (QJ Riding Wear)"
"RIDER: Chapettes & Gaiters",6,"ariat-chapette-concord-black; chapette-jodz-airmesh-black; eurohunter-chapette-clarino-black; eurohunter-chapette-clarino-brown; eurohunter-chapette-leather-black","footwear (Horse Riding Boots & Footwear, Trainers, Workers); saddle-pads (Saddle Blankets, Pads & Squares); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Dog Kennels Carriers & Pens",6,"carrier-airline-approved; carrier-bono-deluxe-25inch; pen-premium-pop-up-kazoo-large-only; pen-foldable-kazoo-medium-only; crate-travel-pop-up-kazoo","pets (Pets - Products For Dogs, Cats, & Other Small Animals); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies)"
"Tops",6,"ladies-cool-show-shirt-navy-white; ladies-cool-summer-riding-tops-in-black-long-sleeve; ladies-cool-summer-riding-tops-in-white-short-sleeve; ladies-cool-summer-riding-tops-in-black-short-sleeve; ladies-cool-summer-riding-tops-in-white-long-sleeve","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); plum-tack (Plum Tack - Quality Australia Riding Apparel & Clothing); globo_basis_collection (Globo basis collection - Do not delete)"
"Equestrian",6,"ippico-amello-sun-shirt-be-dazzled; ippico-amello-sun-shirt-miami; factory-second-midnight-in-the-garden-amello-sun-shirt-by-ippico-equestrian; factory-second-paradise-amello-sun-shirt-ippico-equestrian; factory-second-the-palms-amello-sun-shirt-ippico-equestrian","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); ippico-equestrian (Ippico Equestrian); base-layers (Shop Horse Riding Base Layers)"
"Coat, Hoof & Grooming",6,"equibuff-grooming-sponge-4-colours; equibuff-grooming-sponge-4-colours-1; equibuff-grooming-sponge-4-colours-2; equibuff-grooming-sponge-4-colours-3; cdm-gallop-clean-clear-shampoo-500ml","horse-grooming-supplies (Horse Grooming Gear & Accessories); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete)"
"Saddle Accessories",6,"eureka-childs-leather-clog; monkey-grip-brown; ww-saddle-pad-number-holder-white; matrix-toe-cage-spare-nut; comp-number-set-4-digit","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); zilco (Shop Zilco Rugs, Horse Boots & Accessories); tacklet (Tacklet)"
"Freedom Tights",6,"freedom-tights-grey; freedom-tights-black; competition-tights-snow-white-1; competition-tights-stone-1; freedom-tights-chocolate","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"Rider Accessories",6,"black-grab-strap-with-snaps; fresh-fragrant-helmet-spray-125ml; leather-equestrian-medical-armband-with-swarovski-crystals; leather-grab-strap; leather-medical-armband","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Cavesson Bridle",6,"audrey-rolled-leather-bridle-cavesson-no-reins; amie-rolled-italian-leather-bridle-cavesson-black-no-reins; verdura-anatomic-snaffle-bridle-no-reins; fancy-stitch-traditional-hunter-bridle; delta-bridle-cavesson-no-reins","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Jackets",6,"mens-softshell-jacket-1; pro-rider-unisex-waterproof-riding-jacket; elena-ladies-hybrid-technical-riding-jacket; ladies-softshell-jacket; cascata-ladies-waterproof-jacket","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Saddle",6,"beginner-shetland-pony-saddle-set; funny-horses-shetland-pony-saddle; bletchley-synthetic-mono-flap-dressage-saddle; bordeaux-synthetic-mono-flap-cross-country-saddle; colourful-shetland-pony-saddle-set","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"saddle pad",5,"lemieux-junior-pro-gp-jump-square; premier-equine-airtechnology-shockproof-wool-jump-gp-pad; premier-equine-sports-european-gp-jump-square; vibrant-equestrian-saddle-pad; kentucky-glitter-rope-dressage-saddle-pad","saddle-pads (Saddle Blankets, Pads & Squares); lemieux (Shop Lemieux Horse Gear & Apparel); globo_basis_collection (Globo basis collection - Do not delete); the-equestrian (The Equestrian); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More)"
"Luggage",5,"waldhausen-boot-bag; waldhausen-travelling-gear-bag; waldhausen-bridle-bag; waldhausen-helmet-bag; waldhausen-grooming-and-competition-bag","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); luggage (Luggage For The Horse Rider); globo_basis_collection (Globo basis collection - Do not delete); horse-grooming-supplies (Horse Grooming Gear & Accessories)"
"Mens Show Shirt",5,"animo-acci-mens-short-sleeve-competition-polo; animo-andalus-mens-competition-shirt; animo-ss20-mens-argom-short-sleeve-competition-polo; animo-arak-mens-short-sleeve-competition-top; animo-almiro-mens-competition-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Girls Breeches",5,"animo-nambi-girls-breeches; animo-nove-girls-jean-breeches; animo-naffe-girls-breeches-navy-only; anna-scarpati-sadoc-girls-breeches; animo-nika-girls-breeches","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); breeches (Horse Riding Breeches - Quality International & National Brands); globo_basis_collection (Globo basis collection - Do not delete); anna-scarpati (Shop Anna Scarpati)"
"Jeans",5,"animo-nibis-high-waisted-jeans; animo-nag-girls-denim-breeches; animo-marvin-boys-jean-breeches; animo-nasde-ladies-high-waisted-jeans; animo-nivel-jeans","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); breeches (Horse Riding Breeches - Quality International & National Brands)"
"Knitwear",5,"animo-seili-sleeveless-knit; animo-spiga-ladies-knit; animo-sarto-wool-sweater; animo-rumor-mens-knit; animo-suon-ladies-knit","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Pearl Necklace",5,"p57-pearl-necklace-cream-baroque; p70-pearl-necklace-square-baroque; p69-pearl-necklace-square-baroque; p11-pearl-necklace-large-baroque-coin-pearls; p63-pearl-necklace-baroque-leaf","horse-jewellery (Horse Jewellery - Equine & Equestrian Themed); hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete)"
"Bangles",5,"ss01-silver-hooves-bangle; ss24-twist-hinged-bangle; ss25-stipple-hinged-bangle; ss26-bead-edge-hinged-bangle; ss28-hammered-hinged-bangle","hitchley-harrow (Hitchley & Harrow); globo_basis_collection (Globo basis collection - Do not delete)"
"Stirrup Irons - Stirrup Accessories",5,"equipe-stirrup-iron-covers; equipe-safety-iron-rubber-only; waldhausen-stirrup-covers; thinline-ride-right-stirrup-wrap; cavalleria-toscana-cotton-stirrup-covers","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); strapping (Bridles & Strapping - Top Brands For All Disciplines); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); stirrups (Shop Horse Riding Stirrups & Leathers); thinline-global-australia (Shop Thinline Global Australia); cavalleria-toscana (Shop Cavalleria Toscana Equestrian Apparel & Horse Gear)"
