Handle,Title,Product Count,Parent Collection,Product Types,Product Type Counts
cavallo,"Shop Cavallo Products",67,,"Riding Boots; Halter; Saddle Pad; (No Product Type); Casual Jacket; Belt; long socks; Belts; Socks; Tall Boots; Cap; jumper; Riding Pants; Breeches; Bandages; Bandage Pads; Fly Bonnet; Exercise Boots; Ear Net; Horse Rug; Saddle Pads & Blankets; Fly Hood; Competition Jacket; t-shirt; Ladies Shirt; Shirt; Ladies Top","Riding Boots: 9; Halter: 1; Saddle Pad: 8; (No Product Type): 1; Casual Jacket: 1; Belt: 5; long socks: 5; Belts: 1; Socks: 2; Tall Boots: 4; Cap: 1; jumper: 2; Riding Pants: 1; Breeches: 3; Bandages: 2; Bandage Pads: 1; Fly Bonnet: 1; Exercise Boots: 2; Ear Net: 3; Horse Rug: 2; Saddle Pads & Blankets: 2; Fly Hood: 1; Competition Jacket: 2; t-shirt: 2; Ladies Shirt: 3; Shirt: 1; Ladies Top: 1"
jnk-collective,"JNK Collective",66,,"Ultimate Tights; Freedom Tights; Tights; Active Tights; Tank; Horseware; Shirts; Breeches; Elite Tights; Accessoriess; Cap; Outerwear; Leggings; shirts; accessoriess; Active tights","Ultimate Tights: 2; Freedom Tights: 6; Tights: 11; Active Tights: 4; Tank: 4; Horseware: 4; Shirts: 13; Breeches: 5; Elite Tights: 2; Accessoriess: 5; Cap: 1; Outerwear: 3; Leggings: 2; shirts: 2; accessoriess: 1; Active tights: 1"
bare-equestrian,"Shop BARE Equestrian Apparel & Gear",61,,"Clothing - Kid's Clothing; Clothing - Ladies Clothing; Clothing; (No Product Type); Clothing - Clothing Accessories; Ladies Clothing","Clothing - Kid's Clothing: 2; Clothing - Ladies Clothing: 21; Clothing: 26; (No Product Type): 4; Clothing - Clothing Accessories: 6; Ladies Clothing: 2"
saddles,"Saddles For All Disciplines",57,,"Saddles; SADDLES: Dressage Saddles; SADDLES: All Purpose Saddles; SADDLES: Jumping Saddles; SADDLES: Saddle Accessories & Gullets; Saddles - Saddle Accessories; saddles; Grooming","Saddles: 22; SADDLES: Dressage Saddles: 8; SADDLES: All Purpose Saddles: 8; SADDLES: Jumping Saddles: 4; SADDLES: Saddle Accessories & Gullets: 4; Saddles - Saddle Accessories: 4; saddles: 6; Grooming: 1"
qj-riding-wear,"QJ Riding Wear",56,,"belts; cap; top; Shirt; Breeches; shirt; breeches; shirts; beanies; (No Product Type); riding tights; stock; Sweater; socks; Top; jacket; Gift Card","belts: 2; cap: 2; top: 1; Shirt: 2; Breeches: 23; shirt: 4; breeches: 5; shirts: 2; beanies: 1; (No Product Type): 2; riding tights: 1; stock: 2; Sweater: 2; socks: 1; Top: 1; jacket: 4; Gift Card: 1"
horse-toys,"Shop Kids Horse Toys",54,,"RIDER: Giftware; The Trail of Painted Ponies","RIDER: Giftware: 44; The Trail of Painted Ponies: 10"
hitchley-harrow,"Hitchley & Harrow",54,,"Handbag; Pendants; Belt; (No Product Type); Resin; Bangles; Pearl Necklace; Log Book Cover; Rings","Handbag: 2; Pendants: 4; Belt: 20; (No Product Type): 11; Resin: 2; Bangles: 5; Pearl Necklace: 5; Log Book Cover: 2; Rings: 3"
thinline-global-australia,"Shop Thinline Global Australia",50,,"(No Product Type); Saddle Pad; Strapping - Reins; Saddle Cloths; Strapping - Halters; Horse Boots; Western Pads; Saddles - Saddle Accessories; Stirrup Irons - Stirrup Accessories; Strapping - Girths; Strapping - Bridles - Bridle Accessories","(No Product Type): 25; Saddle Pad: 2; Strapping - Reins: 1; Saddle Cloths: 4; Strapping - Halters: 3; Horse Boots: 2; Western Pads: 9; Saddles - Saddle Accessories: 1; Stirrup Irons - Stirrup Accessories: 1; Strapping - Girths: 1; Strapping - Bridles - Bridle Accessories: 1"
hairy-pony,"Shop Hairy Pony Grooming Products",48,,"STABLE: Grooming; STABLE: Show Preparation; grooming; plaiting kit; brush; Horse Grooming","STABLE: Grooming: 24; STABLE: Show Preparation: 16; grooming: 4; plaiting kit: 1; brush: 2; Horse Grooming: 1"
luggage,"Luggage For The Horse Rider",45,,"Accessories - Luggage; RIDER: Luggage; Luggage; Boots - Boot Accessories; HORSE: Stock & Western; Dog Walking; STABLE: Leather Care & Proofing","Accessories - Luggage: 1; RIDER: Luggage: 34; Luggage: 5; Boots - Boot Accessories: 1; HORSE: Stock & Western: 2; Dog Walking: 1; STABLE: Leather Care & Proofing: 1"
farrier-tools,"Shop Farrier Tools",42,,"STABLE: Farrier; STABLE: Supplements; Hoof Care","STABLE: Farrier: 40; STABLE: Supplements: 1; Hoof Care: 1"
plum-tack,"Plum Tack - Quality Australia Riding Apparel & Clothing",42,,"Jodhpurs; Riding Tights; Breeches; Riding Pants; Riding Apparel & Accessories; Tops","Jodhpurs: 17; Riding Tights: 1; Breeches: 10; Riding Pants: 7; Riding Apparel & Accessories: 1; Tops: 6"
stable-and-yard,"Stable & Arena Gear",41,,"(No Product Type); STABLE: Feed Bins & Hay Bags; Leather Care; STABLE: Horse Treats & Toys; Small Animal","(No Product Type): 5; STABLE: Feed Bins & Hay Bags: 21; Leather Care: 12; STABLE: Horse Treats & Toys: 2; Small Animal: 1"
