top_level,parent_category,subcategory_handle,product_type,action,merge_to,notes
horse,supplements,,Supplements,merge,supplements,
horse,tack,girths,HORSE: Girths,merge,girths,
horse,tack,stirrup-irons,Stirrup Irons,merge,stirrup-irons,
horse,halters,,Strapping - Halters,merge,halters,
horse,rugs,,Rug,merge,rugs,
clothing,accessories,belts,Belt,merge,belts,
horse,tack,number-holders,HORSE: Number Holders,include,,
clothing,accessories,hats,CLOTHING: Hats & Caps,include,,
horse,tack,stirrup-leathers,HORSE: Stirrup Leathers,include,,
horse,stable,clippers,STABLE: Clippers,include,,
rider,accessories,hair,RIDER: Stocks & Hair Accessories,include,,
horse,rugs,accessories,RUGS: Rug Accessories,include,,
horse,pads,wither-pads,HORSE: Wither & Back Pads,include,,
horse,stable,fly-control,Fly Control,include,,
horse,boots,,Horse Boots & Bandages,merge,boots,
clothing,footwear,,FOOTWEAR: Equestrian Footwear,include,,add subs
horse,tack,bridles,Browbands,include,,
horse,saddles,,Saddles,include,,add subs
accessories,collectibles,,The Trail of Painted Ponies,include,,
horse,tack,bridles,HORSE: Bridles,include,,add subs
rider,whips,,RIDER: Whips,include,,
horse,tack,reins,HORSE: Reins,include,,add subs
horse,grooming,coat-care,Coat Care,include,,
horse,stable,feed-storage,STABLE: Feed Bins & Hay Bags,include,,
horse,grooming,products,Grooming Products,include,,
clothing,accessories,socks,Socks,include,,
rider,spurs,,Spurs,merge,spurs,
horse,veterinary,,Health Care,include,,add subs
horse,bonnets,,Fly Veil,merge,bonnets,
horse,saddles,dressage,SADDLES: Dressage Saddles,include,,
pet,cat,litter,Cat Litter & Accessories,include,,
horse,stock-western,,Stock & Western,merge,stock-western,
rider,accessories,hair,Hair Accessories,merge,hair,
horse,halters,leads,Leads,merge,leads,
horse,tack,bridles,Bridles,merge,bridles,
clothing,outerwear,jackets,Casual Jacket,include,,
horse,stable,leather-care,Leather Care,merge,leather-care,
horse,veterinary,,Care,include,,add subs
horse,saddles,all-purpose,SADDLES: All Purpose Saddles,include,,
horse,tack,reins,Reins,merge,reins,
clothing,womens,breeches,Breeches & Riding Tights,include,,
clothing,mens,jeans,CLOTHING: Jeans,include,,
clothing,accessories,socks,CLOTHING: Socks,merge,socks,
horse,saddles,accessories,SADDLES: Saddle Accessories & Gullets,include,,
horse,boots,bell-boots,Bell Boots,include,,
clothing,tops,shirts,Shirts,include,,
horse,tack,bridles,Bridle,merge,bridles,
horse,saddles,dressage,Dressage Saddle,merge,dressage,
clothing,outerwear,show-jackets,Competition Jacket,include,,
clothing,footwear,western,FOOTWEAR: Western & Roper Boots,include,,
clothing,womens,breeches,Jodhpurs,merge,breeches,
horse,tack,bridles,Strapping - Bridles,merge,bridles,
rider,jewellery,bracelets,Bracelet,include,,
clothing,footwear,riding-boots,Riding Boots,include,,
clothing,footwear,casual,FOOTWEAR: Casual Footwear,include,,
pet,bird,food,Bird Food & Treats,include,,
clothing,womens,,Apparel - Ladies,include,,add subs
pet,dog,,Dogs,merge,dog,
clothing,mens,,CLOTHING: Clothing Mens,merge,mens,
rider,jewellery,necklaces,Necklace,include,,
accessories,,,Merchandise,exclude,,Generic - review later
horse,stable,instruments,STABLE: Instruments,include,,
horse,tack,breastplates,HORSE: Breastplates & Martingales,include,,
clothing,footwear,mens,Mens Footwear,include,,
horse,stable,leather-care,Leather,merge,leather-care,
clothing,footwear,womens,Womens Footwear,include,,
pet,dog,food,Dog Food,include,,
horse,boots,tendon-boots,Tendon Boots,include,,
clothing,tops,show-shirts,Show Shirt,include,,
horse,racing,,Racing,merge,racing,
horse,saddles,all-purpose,All Purpose,merge,all-purpose,
horse,stable,,Stable Accessories,merge,stable,
horse,tack,,Strapping,include,,add subs
horse,rugs,,Horse Rug,merge,rugs,
pet,dog,bedding,Dog Bedding,include,,
clothing,accessories,hats,Hat,merge,hats,
horse,grooming,bags,Grooming Bags and Brushes,include,,
clothing,womens,breeches,Ladies Breeches,merge,breeches,
horse,tack,nosebands,HORSE: Nosebands & Browbands,include,,
rider,,,Riding Apparel & Accessories,exclude,,Generic - review later
rider,jewellery,,Belts & Bracelets,include,,add subs
clothing,mens,jeans,Mens Jeans,merge,jeans,
clothing,womens,breeches,Women's Breeches,merge,breeches,
horse,grooming,plaiting,Plaiting,include,,
horse,stable,hoof-care,Hoof Care,merge,hoof-care,
horse,bonnets,,Ear Net,merge,bonnets,
horse,veterinary,,Care Products,merge,care,
clothing,womens,tights,Tights,include,,
horse,tack,girths,Girth,merge,girths,
horse,tack,breastplates,Breastplates,merge,breastplates,
horse,rugs,,Rugs,merge,rugs,
horse,saddles,accessories,Saddles - Saddle Accessories,merge,accessories,
horse,pads,western,Western Pads,include,,
clothing,tops,shirts,Shirt,merge,shirts,
horse,stable,wormers,STABLE: Wormers,include,,
rider,jewellery,,RIDER: Jewellery,merge,jewellery,
clothing,kids,breeches,CLOTHING: Jodhpurs & Breeches Childs,include,,
clothing,accessories,hats,HAT,merge,hats,
clothing,accessories,caps,Caps,include,,
rider,whips,,Whips and Crops,merge,whips,
horse,bonnets,,Ear Bonnets,merge,bonnets,
horse,tack,reins,Strapping - Reins,merge,reins,
horse,supplements,,Horse Supplements,merge,supplements,
clothing,footwear,tall-boots,Tall Boots,include,,
pet,poultry,,Poultry,include,,add subs
horse,boots,ice-boots,STABLE: Ice Boots,include,,
rider,accessories,hair,Hair Accessory,merge,hair,
horse,tack,martingales,Strapping - Martingales,include,,
clothing,womens,,Ladies Clothing,merge,womens,
clothing,accessories,,Clothing Accessories,merge,accessories,
horse,saddles,,saddles,merge,saddles,
rider,jewellery,earrings,Earrings,include,,
clothing,womens,tops,Ladies Shirt,include,,
clothing,accessories,hats,Hats,merge,hats,
clothing,womens,breeches,Riding Pants,merge,breeches,
horse,grooming,,Horse Grooming,merge,grooming,
clothing,womens,breeches,breeches,merge,breeches,
clothing,womens,casual,CLOTHING: Casual Clothing Ladies,include,,
horse,saddles,jumping,SADDLES: Jumping Saddles,include,,
horse,stable,feeding,Feeding,include,,
horse,pads,gel-pads,Gel & Comfort Pads,include,,
horse,bonnets,,Ear Bonnet,merge,bonnets,
horse,saddles,jumping,Jump Saddle,merge,jumping,
horse,tack,reins,Stock & Western Reins,include,,
horse,veterinary,,Vet Supplies,merge,veterinary,
clothing,womens,jeans,Womens Jeans,include,,
rider,luggage,wallets,Wallets & Handbags,include,,
horse,tack,number-holders,Number Holders,merge,number-holders,
horse,tack,bridles,Strapping - Bridles - Bridle Accessories,merge,bridles,
clothing,tops,tshirts,t-shirt,include,,
rider,accessories,keychains,Key Chain Clip,include,,
horse,tack,stirrups,Stirrups and leathers,include,,
clothing,accessories,socks,long socks,merge,socks,
horse,bonnets,fly-masks,Fly Mask,include,,
horse,stable,paddock,Paddock Blades,include,,
horse,pads,western,Stock & Western Pads,merge,western,
rider,spurs,,Spurs and Spur Straps,merge,spurs,
pet,,,Toys,exclude,,Generic - review later
horse,tack,bridles,Hanoverian Bridle,include,,
horse,rugs,accessories,Horse Rugs - Rug Accessories,merge,accessories,
horse,tack,breastplates,Strapping - Breast Plates,merge,breastplates,
clothing,outerwear,jackets,jacket,merge,jackets,
clothing,accessories,caps,Cap,merge,caps,
rider,jewellery,pendants,Pendants,include,,
horse,tack,breastplates,breastplate,merge,breastplates,
clothing,tops,sweaters,Sweater,include,,
rider,chaps,,RIDER: Chapettes & Gaiters,include,,
pet,dog,kennels,Dog Kennels Carriers & Pens,include,,
clothing,tops,,Tops,include,,add subs
horse,,,Equestrian,exclude,,Generic - review later
horse,grooming,,"Coat, Hoof & Grooming",merge,grooming,
horse,saddles,accessories,Saddle Accessories,merge,accessories,
clothing,womens,tights,Freedom Tights,include,,
rider,accessories,,Rider Accessories,include,,add subs
horse,tack,bridles,Cavesson Bridle,include,,
clothing,outerwear,jackets,Jackets,merge,jackets,
horse,saddles,,Saddle,merge,saddles,
horse,pads,,saddle pad,merge,pads,
rider,luggage,,Luggage,merge,luggage,
clothing,mens,show-shirts,Mens Show Shirt,include,,
clothing,kids,breeches,Girls Breeches,include,,
clothing,mens,jeans,Jeans,merge,jeans,
clothing,tops,knitwear,Knitwear,include,,
rider,jewellery,necklaces,Pearl Necklace,merge,necklaces,
rider,jewellery,bracelets,Bangles,merge,bracelets,
horse,tack,stirrup-irons,Stirrup Irons - Stirrup Accessories,merge,stirrup-irons,
clothing,tops,sweaters,jumper,merge,sweaters,
horse,boots,bandages,Bandages,include,,
clothing,accessories,hats,beanie,include,,
clothing,tops,shirts,shirt,merge,shirts,
horse,saddles,stock-western,SADDLES: Stock & Western Saddles,include,,
rider,body-protectors,,RIDER: Body Protectors,include,,
clothing,accessories,belts,CLOTHING: Belts,merge,belts,
horse,tack,girths,Girth Accessories,include,,
clothing,footwear,,FOOTWEAR CLEARANCE,exclude,,Sale/clearance - review later
rider,luggage,bags,Bag,include,,
accessories,,,Accessoriess,exclude,,Typo - review later
horse,rugs,,HORSE RUG CLEARANCE,exclude,,Sale/clearance - review later
horse,training,,Training and Lunging,merge,training,
horse,saddles,accessories,Saddle Gullet,merge,accessories,
horse,tack,stirrup-leathers,Synthetic Stirrup Straps,include,,
clothing,accessories,hats,Beanies,merge,hats,
horse,rugs,winter,Winter Rugs,merge,winter,
horse,pads,dressage,Dressage Pads,include,,
horse,pads,half-pads,Half Pads,include,,
horse,boots,magnetic,Magnetic Boots,include,,
horse,tack,nosebands,Noseband,merge,nosebands,
horse,grooming,brushes,brush,merge,brushes,
horse,veterinary,,horse care,merge,veterinary,
horse,grooming,,grooming,merge,grooming,
horse,tack,bridles,Bitless Bridle,include,,
horse,pads,,Saddlepad,merge,pads,
horse,pads,,Saddle Cloth,merge,pads,
horse,tack,bridles,Bridle Accessories,merge,bridles,
horse,bits,accessories,Bits - Bit Accessories,include,,
horse,boots,therapy,Therapy Boots,include,,
clothing,kids,show-jackets,Boys Competition Jacket,include,,
clothing,tops,polo-shirts,Polo Shirt,include,,
clothing,tops,vests,Vest,include,,
clothing,accessories,belts,Leather Plaited Belt,merge,belts,
horse,rugs,hoods,Hood,include,,
rider,chaps,,Half Chaps,merge,chaps,
accessories,books,,Books & Magazines,include,,
horse,halters,lead-ropes,Lead Rope,include,,
clothing,,,CLOTHING CLEARANCE,exclude,,Sale/clearance - review later
pet,bird,care,Bird Potions & Lotions,include,,
clothing,kids,,CLOTHING: Clothing Childs,merge,kids,
clothing,tops,shirts,shirts,merge,shirts,
clothing,womens,tights,Active Tights,include,,
horse,tack,stirrup-leathers,Leather Stirrup Straps,include,,
rider,accessories,keychains,Keyring,merge,keychains,
horse,halters,lead-ropes,Lead Ropes,merge,lead-ropes,
horse,stable,,Stable,merge,stable,
horse,bonnets,fly-masks,Fly mask,merge,fly-masks,
pet,dog,treats,Treats,merge,treats,
horse,tack,breastplates,Breastplate,merge,breastplates,
accessories,brands,horseware,Horseware,include,,
horse,training,lunge-equipment,Lunge Line,include,,
horse,rugs,tail-protectors,Tail Protector,include,,
rider,body-protectors,,Back Protectors,merge,body-protectors,
horse,tack,bridles,Grackle Bridle,include,,
horse,veterinary,,Medical Supplies,merge,veterinary,
clothing,tops,tanks,Tank,include,,
horse,tack,accessories,Strapping - Strapping Accessories,include,,
horse,boots,fetlock,Fetlock boots,include,,
horse,boots,overreach,Overreach Boots,include,,
pet,supplements,,Pet Supplements,include,,
clothing,kids,show-shirts,Boys Show Shirt,include,,
rider,,,Apparel & Accessories,exclude,,Generic - review later
accessories,gifts,,Gift Set,include,,
rider,accessories,keychains,Fob,merge,keychains,
rider,jewellery,rings,Rings,include,,
horse,stable,tail-bags,Tailbag,include,,
accessories,gifts,,Gifts,merge,gifts,
horse,tack,stirrup-leathers,Stirrup Leathers,merge,stirrup-leathers,
horse,pads,,Saddle Pads & Blankets,merge,pads,
pet,bird,,Bird Assorted,merge,bird,
horse,stable,jumps,STABLE: Jumps & Markers,include,,
clothing,outerwear,oilskins,CLOTHING: Oilskins,include,,
clothing,footwear,ankle-boots,Ankle Boots,include,,
clothing,outerwear,,Outerwear,include,,add subs
horse,stable,hay-nets,Hay Net,include,,
rider,luggage,bags,Gear Bag,merge,bags,
horse,rugs,cotton,Cotton Rugs,include,,
rider,chaps,,Chaps,merge,chaps,
horse,boots,bell-boots,Bell boots,merge,bell-boots,
horse,rugs,accessories,Rug Accessories,merge,accessories,
horse,tack,bridles,Headpiece,include,,
rider,accessories,studs,Studs,include,,
horse,tack,bridles,Bridle Strapping,merge,bridles,
accessories,,,Donation,exclude,,Special category - review later
horse,boots,accessories,Boots - Boot Accessories,include,,
clothing,kids,tops,Girls Shirt,include,,
clothing,mens,show-jackets,Mens Competition Jacket,include,,
clothing,tops,tshirts,TShirt,merge,tshirts,
rider,accessories,hatbands,Hatband,include,,
rider,jewellery,lockets,Locket,include,,
rider,jewellery,charms,Charm Bead,include,,
rider,accessories,,Log Book Cover,include,,
accessories,,,Sale,exclude,,Sale category - review later
clothing,womens,tops,Ladies Top,merge,tops,
clothing,outerwear,riding-jackets,Riding Jacket,include,,
