from_path,to_path,redirect_type,origin,source,status,notes
/collections/saddle-pads/matchy-horse-sets,/horse/pads/matchy-sets,301,collections_csv,,,
/collections/saddle-pads/lemieux,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/blue,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/sheepskin,/horse/pads/sheepskin,301,collections_csv,,,
/collections/saddle-pads/all-purpose,/horse/saddles/all-purpose,301,collections_csv,,,
/collections/saddle-pads/half-pad,/horse/pads/half-pads,301,collections_csv,,,
/collections/saddle-pads/gel,/horse/pads/gel-pads,301,collections_csv,,,
/collections/saddle-pads/eurohunter,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/white,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/dressage,/horse/pads/dressage,301,collections_csv,,,
/collections/saddle-pads/burgundy,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/navy,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/black,/horse/pads,301,collections_csv,,,
/collections/saddle-pads/bare,/horse/pads/bare,301,collections_csv,,,
/collections/saddle-pads/western,/horse/pads/western,301,collections_csv,,,
/collections/pets/hills-science-diet,/pet/dog/food,301,collections_csv,,,
/collections/pets/petlife-dog-beds,/pet/dog/bedding,301,collections_csv,,,
/collections/pets/melanie-newman-shampoo,/pet/dog/grooming,301,collections_csv,,,
/collections/pets/kazoo-dog-bed,/pet/dog/bedding,301,collections_csv,,,
/collections/pets/pawz-dog-bed,/pet/dog/bedding,301,collections_csv,,,
/collections/pets/earthborn-dog-food,/pet/dog/food,301,collections_csv,,,
/collections/pets/dog-constipation,/pet/dog/supplements,301,collections_csv,,,
/collections/pets/msm-for-dogs,/pet/dog/supplements,301,collections_csv,,,
/collections/pets/dog-poop-bag-holder,/pet/dog/accessories,301,collections_csv,,,
/collections/pets/credelio-plus,/pet/dog/veterinary,301,collections_csv,,,
/collections/pets/hemp-oil-for-dogs,/pet/dog/supplements,301,collections_csv,,,
/collections/pets/dog-tags,/pet/dog/accessories,301,collections_csv,,,
/collections/pets/bravecto-for-dogs,/pet/dog/veterinary,301,collections_csv,,,
/collections/pets/zippy-paws,/pet/dog/toys,301,collections_csv,,,
/collections/pets/black-dog-wear,/pet/dog/coats-and-rugs,301,collections_csv,,,
/collections/pets/rogz-harness,/pet/dog/collars-and-leads,301,collections_csv,,,
/collections/pets/aristopet-all-wormer,/pet/supplements,301,collections_csv,,,
/collections/pets/dog-collars,/pet/dog/collars-and-leads,301,collections_csv,,,
/collections/pets/anipal,/pet/dog/supplements,301,collections_csv,,,
/collections/pets/vitamins-and-supplements,/pet/supplements,301,collections_csv,,,
/collections/pets/advance-cat-food,/pet/cat/food,301,collections_csv,,,
/collections/pets/advance-pet-food,/pet/food,301,collections_csv,,,
/collections/pets/zamipet,/pet/supplements,301,collections_csv,,,
/collections/pets/supplements-and-medicine,/pet/supplements,301,collections_csv,,,
/collections/pets/dog-flea-treatment,/pet/dog/veterinary,301,collections_csv,,,
/collections/pets/aristopet,/pet/aristopet,301,collections_csv,,,
/collections/pets/blackdog-treats,/pet/dog/treats,301,collections_csv,,,
/collections/pets/kong-dog-toys-and-treats,/pet/dog/toys,301,collections_csv,,,
/collections/pets/kazoo-dog-coat,/pet/dog/coats-and-rugs,301,collections_csv,,,
/collections/pets/dog-coats,/pet/dog/coats-and-rugs,301,collections_csv,,,
/collections/pets/dog-beds,/pet/dog/bedding,301,collections_csv,,,
/collections/pets/kangaroo-dog-treats,/pet/dog/treats,301,collections_csv,,,
/collections/pets/dog-treats,/pet/dog/treats,301,collections_csv,,,
/collections/fly-veils-and-hoods/bonnets,/horse/bonnets,301,collections_csv,,,
/collections/luggage/saddle-bags,/rider/luggage/saddle-bags,301,collections_csv,,,
/collections/luggage/backpacks,/rider/luggage/backpacks,301,collections_csv,,,
/collections/luggage/ariat,/rider/luggage,301,collections_csv,,,
/collections/horse-bandages/white,/horse/boots/bandages,301,collections_csv,,,
/collections/horse-bandages/dressage,/horse/boots/bandages,301,collections_csv,,,
/collections/horse-bandages/black,/horse/boots/bandages,301,collections_csv,,,
/collections/horse-rugs/50-125cm,/horse/rugs,301,collections_csv,,,
/collections/horse-rugs/hoods,/horse/rugs/hoods,301,collections_csv,,,
