top_level,parent_category,subcategory_handle,product_type,action,merge_to,notes
,,,CLOTHING CLEARANCE,,,
,,,Bird Potions & Lotions,,,
,,,CLOTHING: Clothing Childs,,,
,,,shirts,,,
,,,Active Tights,,,
,,,Leather Stirrup Straps,,,
,,,Keyring,,,
,,,Lead Ropes,,,
,,,Stable,,,
,,,Fly mask,,,
,,,Treats,,,
,,,Breastplate,,,
,,,Horseware,,,
,,,Lunge Line,,,
,,,Tail Protector,,,
,,,Back Protectors,,,
,,,Grackle Bridle,,,
,,,Medical Supplies,,,
,,,Tank,,,
,,,Strapping - Strapping Accessories,,,
,,,Fetlock boots,,,
,,,Overreach Boots,,,
,,,Pet Supplements,,,
,,,Boys Show Shirt,,,
,,,Apparel & Accessories,,,
,,,Gift Set,,,
,,,Fob,,,
,,,Rings,,,
,,,Tailbag,,,
,,,Gifts,,,
,,,Stirrup Leathers,,,
,,,Saddle Pads & Blankets,,,
,,,Bird Assorted,,,
,,,STABLE: Jumps & Markers,,,
,,,CLOTHING: Oilskins,,,
,,,Ankle Boots,,,
,,,Outerwear,,,
,,,Hay Net,,,
,,,Gear Bag,,,
,,,Cotton Rugs,,,
,,,Chaps,,,
,,,Bell boots,,,
,,,Rug Accessories,,,
,,,Headpiece,,,
,,,Studs,,,
,,,Bridle Strapping,,,
,,,Donation,,,
,,,Boots - Boot Accessories,,,
,,,Girls Shirt,,,
,,,Mens Competition Jacket,,,
,,,TShirt,,,
,,,Hatband,,,
,,,Locket,,,
,,,Charm Bead,,,
,,,Log Book Cover,,,
,,,Sale,,,
,,,Ladies Top,,,
,,,Riding Jacket,,,
,,,Exercise Boots,,,
,,,Gift Card,,,
,,,Men's,,,
,,,RIDER: Hats & Caps,,,
,,,STABLE: Horse Feed,,,
,,,Accessories - Luggage,,,
,,,casual footwear,,,
,,,helmet,,,
,,,Footwear & Chaps,,,
,,,T-Shirt,,,
,,,Sleepwear,,,
,,,belts,,,
,,,stock,,,
,,,cap,,,
,,,Ultimate Tights,,,
,,,hats,,,
,,,Handbag,,,
,,,Leggings,,,
,,,Beanie,,,
,,,Other,,,
,,,Stockwhip,,,
,,,Mesh Rug,,,
,,,Flag Rug,,,
,,,Insect Repellent,,,
,,,Footwear Accessories,,,
,,,Travel,,,
,,,Body Protector,,,
,,,Jump Pad,,,
,,,English Reins,,,
,,,Eventing Boots,,,
,,,Float Boots,,,
,,,Magnetic,,,
,,,Fly Repellant,,,
,,,Other Care Products,,,
,,,Martingales,,,
,,,Double Bridle,,,
,,,Anatomic Bridle,,,
,,,Cold Water/Ice Boots,,,
,,,Resin,,,
,,,Sports,,,
,,,Elite Tights,,,
,,,saddle pads,,,
,,,Saddle cloths,,,
,,,Wither relief saddlepad,,,
,,,Whips,,,
,,,Travel Boots,,,
,,,ICE BOOTS,,,
,,,Horse Boots & Leg Wraps,,,
,,,Scarf,,,
,,,ladies jacket,,,
,,,Girls Competition Jacket,,,
,,,Mens Breeches,,,
,,,long sleeve,,,
,,,Trousers,,,
,,,Bookmarks,,,
,,,keyring,,,
,,,tie,,,
,,,Gift Certificates,,,
,,,Book,,,
,,,bead,,,
,,,Custom Orders,,,
,,,Equestrian Helmets,,,
,,,Spurs & Straps - Spurs Accessories,,,
,,,Strapping - Stirrup Leathers,,,
,,,Supplements + Care,,,
,,,Halters,,,
,,,Halter Set,,,
,,,Horse Halters,,,
,,,probiotics,,,
,,,Bicycle Helmet Brim Visor,,,
,,,Girth Loop Adjustable,,,
,,,Helmet Brim,,,
,,,Strapping - Girths - Girth Accessories,,,
,,,Animal Husbandry,,,
,,,Fly Hood,,,
,,,Fly Bonnet,,,
,,,Bandage Pads,,,
,,,Rug Rack,,,
,,,Wrap Bag,,,
,,,Tack Cleaning,,,
,,,Books,,,
,,,Polo Top,,,
,,,CLOTHING: Casual Clothing Childs,,,
,,,Harness Racing,,,
,,,CLOTHING: Casual Clothing Mens,,,
,,,Shirts & Tops,,,
,,,CLOTHING: Jodhpurs & Breeches Mens,,,
,,,halter,,,
,,,lead rope,,,
,,,half pad,,,
,,,fly bonnet,,,
,,,Kids Jacket,,,
,,,Storage,,,
,,,beanies,,,
,,,Top,,,
,,,top,,,
