trailrace_item_id,trailrace_title,trailrace_price_aud,trailrace_clicks,trailrace_impressions,trailrace_cost_aud,trailrace_conversion_value_aud,trailrace_roas,trailrace_paid_label
shopify_au_7894803054811_43679683281115,Samshield Clara High Waist Full Grip Breeches FW22 Chocolate / 40,460.0,43,0.0,53.53,126.84,2.37,tr_c
shopify_au_9032911454427_47919112683739,Samshield FlyShield Swarovski Ear Bonnet Black,165.0,20,0.0,32.28,122.66,3.8,tr_c
shopify_au_8455006355675_45437488660699,Dy'on Hackamore Protection Black,99.95,1,96.0,0.78,115.9,148.59,tr_c
shopify_au_8840381497563_46645995962587,Samshield Victorine Premium - Tall - SS25 Navy / 32,899.0,15,0.0,25.99,105.18,4.05,tr_c
shopify_au_490578018327_4030993989655,Gag Cheeks | Equipe Black / Cob,69.95,13,629.0,14.96,100.98,6.75,tr_c
shopify_au_8951723524315_47353075794139,Lead PN With Brass Chain,109.95,5,228.0,6.23,99.95,16.04,tr_c
shopify_au_7584615760091_42614205776091,Dressage Saddlecloth | Aubenhausen,249.95,4,440.0,2.31,98.66,42.71,tr_c
shopify_au_8700209823963_46075219869915,Lami-Cell All-In-One Half Pad,169.95,16,0.0,10.13,94.86,9.36,tr_c
shopify_au_8304573120731_45030180585691,Lami-Cell Titanium Hood Medium,109.95,7,973.0,10.19,93.87,9.21,tr_c
shopify_au_490565926935_4030769528855,Stud Girth | Equipe Brown / 130cm,499.95,15,578.0,16.27,90.52,5.56,tr_c
shopify_au_7865001083099_43510148661467,Kentucky Horsewear Moonboots Air Elastic Brown / Medium,269.95,2,133.0,2.86,86.88,30.38,tr_c
shopify_au_490573070359_4030900174871,Emporio Martingale | Equipe Black / Full,109.95,9,481.0,4.68,85.0,18.16,tr_c
shopify_au_6684054028476_39684668063932,Samshield Evy Long Sleeve Training Shirt,189.95,3,177.0,1.9,83.33,43.86,tr_c
shopify_au_3962292371479_29502465376279,Ear Bonnet | Mattes Medium / Graphite,99.95,7,0.0,5.56,82.65,14.87,tr_c
shopify_au_8459589910747_45445500535003,Zilco Woolguard Combo 6'0,199.95,4,233.0,6.77,81.61,12.05,tr_c
shopify_au_9403061043419_48978231328987,"Mattes Square Dressage Sheen - White, White Braid Large Mattes / Large",189.0,2,587.0,2.75,77.18,28.07,tr_c
shopify_au_629844738071_7313503223831,Emporio Convertible Hanovarian Bridle | Equipe Brown / Cob,169.95,37,0.0,26.59,74.86,2.82,tr_c
shopify_au_7153436524732_43547520172251,Seat Saver | ThinLine Dressage / Black,81.95,24,844.0,18.37,73.05,3.98,tr_c
shopify_au_7153436524732_43547520205019,Seat Saver | ThinLine Western / Black,81.95,5,518.0,5.98,73.05,12.22,tr_c
shopify_au_8314361774299_45083032322267,Samshield Shadow Glossy 2.0 Helmet Navy / Medium,799.0,7,720.0,5.09,71.98,14.14,tr_c
shopify_au_490578673687_4031008210967,Girth | Equipe Black / 75cm,399.95,12,0.0,14.41,71.53,4.96,tr_c
shopify_au_4525281050682_31854621196346,Kentucky Horsewear Leather Overreach Boots Black / Large,79.95,2,48.0,1.49,71.23,47.81,tr_c
shopify_au_6122301522108_44273643028699,ThinLine Trim To Fit Shims - English Pads 7306 Trifecta Cotton Pad / Large / Thinline,69.95,12,466.0,5.47,69.95,12.79,tr_c
shopify_au_7102430707900_40724712358076,Thinline Breakaway Halter Head Piece Full/Extra Full,24.95,25,911.0,10.16,69.34,6.82,tr_c
shopify_au_6668118950076_39633878253756,Kentucky Horsewear Dog Rain Coat Dusty Blue / Small,94.95,4,65.0,4.88,69.25,14.19,tr_c
shopify_au_6668118950076_39633878319292,Kentucky Horsewear Dog Rain Coat Dusty Blue / Large,109.95,6,168.0,2.03,69.25,34.11,tr_c
shopify_au_4499079659578_31783230701626,Equipe Safety Iron - Rubber Only Green,69.95,2,89.0,0.77,67.23,87.31,tr_c
shopify_au_8255463555291_44826945945819,Kentucky Horsewear Sheepskin Girth - Brown Fleece 120cm,209.95,10,399.0,13.33,67.23,5.04,tr_c
shopify_au_490580574231_4031058477079,Stirrup Leathers | Equipe Brown / 145cm,219.95,1,135.0,8.02,67.02,8.36,tr_c
shopify_au_8003362881755_44037409243355,Blocker Tie Ring MK2,79.95,5,508.0,9.31,65.42,7.03,tr_c
shopify_au_490570645527_4030848270359,Draw Reins | Equipe Brown / Cob,169.95,18,543.0,12.84,64.93,5.06,tr_c
shopify_au_7551164842203_42510740193499,Bevel Training Bit 10cm,70.95,9,0.0,5.16,64.5,12.5,tr_c
shopify_au_4525274791994_31854607171642,Kentucky Horsewear Half Pad Intelligent Absorb - Thick Navy,359.95,7,478.0,2.82,63.73,22.6,tr_c
shopify_au_9287103906011_48590210629851,Samshield Alta Badia Puffer Vest - SS26 Black / Small,345.0,4,159.0,1.88,63.23,33.63,tr_c
shopify_au_9287103906011_48590210760923,Samshield Alta Badia Puffer Vest - SS26 Navy / Small,345.0,1,106.0,0.8,63.23,79.04,tr_c
shopify_au_9287241302235_48590968389851,Samshield Davos Puffer Jacket - SS26 Black / Small,399.0,6,169.0,3.07,63.23,20.6,tr_c
shopify_au_8108267012315_44328638644443,Samshield Billie Bomber Jacket Navy / Extra Large,420.0,14,0.0,16.39,62.93,3.84,tr_c
shopify_au_9287241302235_48590968324315,Samshield Davos Puffer Jacket - SS26 Black / Large,399.0,4,95.0,13.88,62.43,4.5,tr_c
shopify_au_7770665255131_43110692028635,Detangler with Camomile | Leovet,34.95,1,108.0,0.18,62.09,344.94,tr_c
shopify_au_490570940439_4030856298519,Drop Nose Band | Equipe Red Brown / Full,109.95,3,175.0,1.18,61.96,52.51,tr_c
shopify_au_493037223959_4072949579799,Bridle | Equipe Brown / Full,399.95,2,321.0,1.22,61.34,50.28,tr_c
shopify_au_7685777817819_42863073493211,Samshield V-Skin Hunter Gloves Black / 9,59.0,5,161.0,2.41,59.0,24.48,tr_c
shopify_au_7092595130556_45978249199835,Equipe Emporio Jump Saddle Brown / 17N / M,3995.0,23,0.0,9.94,56.79,5.71,tr_c
shopify_au_8787304448219_46443156472027,Woof Wear Club Brushing Boots Black / Medium,54.95,6,173.0,9.94,54.95,5.53,tr_c
shopify_au_9286210257115_48585836331227,Samshield Men's Knitted Tie - SS26,59.0,6,144.0,8.49,53.1,6.25,tr_c
shopify_au_4459052630074_31564933791802,Eggbutt Snaffle French Mouth Full,59.95,2,429.0,1.08,53.05,49.12,tr_c
shopify_au_4459046142010_31564913573946,Dee Bit Stainles Steel Rubber,54.95,1,408.0,0.43,52.25,121.51,tr_c
shopify_au_4476276310074_31654174195770,KK Training Bit - Fine Mouth Full,57.95,21,0.0,9.61,52.25,5.44,tr_c
shopify_au_4540589113402_31906896576570,"""S"" Hackamore - Stainless Steel",84.95,7,753.0,11.78,51.49,4.37,tr_c
shopify_au_4539279867962_31896124293178,Thinline Halter Padding Cob,49.95,6,361.0,4.95,49.5,10.0,tr_c
shopify_au_8861113942235_48336635265243,KASK Star Lady Pure Shine - WG11 Swarovski Carpet Black / 57cm-59cm,1595.0,13,0.0,11.74,49.28,4.2,tr_c
shopify_au_6612240269500_39465795780796,Quilted Leg Wraps | Zilco Small,24.95,5,188.0,7.79,48.93,6.28,tr_c
shopify_au_4111747579927_30180070948887,Brushing Boots | Woof Wear Berry / Medium,54.95,1,106.0,1.93,47.88,24.81,tr_c
shopify_au_490575495191_4030943723543,Emporio Reins | Equipe Brown / Pony,84.95,4,207.0,6.05,47.8,7.9,tr_c
