issue_type,dest_path,priority,inlink_rows,unique_sources,recommended_url,example_source,top_anchor,source_class,status,action
3xx,/products/charles-owen-fian,P3,1,1,/rider/helmets/charles-owen-fian,/news/best-horse-riding-helmet-australia,FIAN,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/cryochaps-ice-wrap-boots-2-sizes,P3,1,1,/horse/boots/cryochaps-ice-wrap-boots-2-sizes,/news/windgalls-in-horses,SHOP CRYOCHAPS,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/curb-chain-hooks-gold-medal,P3,1,1,/horse/bits/curb-chain-hooks-gold-medal,/news/bitless-bridle-types,curb chain,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/digestive-vm,P3,1,1,/horse/supplements/digestive-vm,/news/brewers-yeast-for-horses-benefits,amino acids,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/eac-inside-out-horse-formula,P3,1,1,/rider/luggage/bags,/news/best-horse-supplements,EAC Animal Care in-sideout horse,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ego7-orion-long-boot-laces-black-size-40-45,P3,1,1,/clothing/footwear/boots/ego7-orion-long-boot-laces-black-size-40-45,/news/best-boots-for-horse-riding,Ego7 Orion Long Boot Laces - Black- Size 40-45,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/electrolyte-balance,P3,1,1,/horse/supplements/electrolyte-balance,/news/horse-gut-health,electrolytes,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/equest-plus-zoetis-tape-gel,P3,1,1,/horse/stable/wormers/equest-plus-zoetis-tape-gel,/news/types-of-worms-in-horses,,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/equidae-soothing-calm-aloe-vera-spray-500ml,P3,1,1,/horse/grooming/equidae-soothing-calm-aloe-vera-spray-500ml,/news/rain-scald-in-horses,aloe vera gel,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/equine-joint-formula-two-iah-1-25kg,P3,1,1,/rider/luggage/bags,/news/the-best-horse-joint-supplements-and-constituents,Equine Joint Formula,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/farrier-gloves-tennyson-kevlar,P3,1,1,/horse/stable/farrier/farrier-gloves-tennyson-kevlar,/horse/stable/farrier/horseshoe-hack-concave-daily-trainer-1,Tennyson Kevlar-Enforced Farrier Gloves,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/filtabac-ceva-500gm,P3,1,1,/horse/veterinary/first-aid/filtabac-ceva-500gm,/news/greasy-heel-treatment,Filtabac,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/fleece-nose-hackamore,P3,1,1,/horse,/news/bitless-bridle-types,hackamore,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/flexible-filly-splint-boots,P3,1,1,/horse/boots,/news/splints-in-horses,splint boots,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/fly-mask-lycra-pull-on-kool-master-lady-beetles-print,P3,1,1,/horse,/horse/bonnets/fly-masks/rambo-flymask-plus-vamoose,Fly Mask Lycra Pull-On Kool Master Lady Beetles,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/fly-mask-lycra-pull-on-kool-master-turquoise-black,P3,1,1,/horse/bonnets/fly-mask-lycra-pull-on-kool-master-turquoise-black,/horse/bonnets/fly-masks/rambo-flymask-plus-vamoose,Fly Mask Lycra Pull-On Kool Master in Turquoise/Black,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/flyveil-ride-free,P3,1,1,/horse/bonnets/flyveil-ride-free,/horse/bonnets/fly-masks/rambo-flymask-plus-vamoose,Flyveil Ride Free Mask,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/gastro-aid-paste,P3,1,1,/horse/supplements,/news/ulcer-treatments-for-horses,Gastro Aid,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/green-valley-naturals-hemp-flaxseed-oil-1lit,P3,1,1,/horse,/news/how-often-can-i-give-my-dog-hemp-oil-for-anxiety,CLICK TO VIEW GREEN VALLEY HEMP OIL,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/green-valley-naturals-hemp-oil-500ml,P3,1,1,/horse,/pet/dog/supplements/pooch-puree-for-both-mature-younger-dogs,Hemp Oil Green Valley Naturals 500ml,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/halter-knotted-rope-thick-large,P3,1,1,/horse/halters/halter-knotted-rope-thick-large,/news/horse-halter-types,View this Knotted Rope Halter,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/hemp-pet-dog-hemp-oil-blend-hoki-fish-mct-oil-100ml,P3,1,1,/pet/dog/skin-care/hemp-pet-dog-hemp-oil-blend-hoki-fish-mct-oil-100ml,/pet/dog/supplements/pooch-puree-for-both-mature-younger-dogs,"Shop the 100ml Pet X Hemp Oil Blend for Dogs, Infused with Hoki Fish and MCT Oil",content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/hoof-nipper-tennyson-15inch,P3,1,1,/horse/stable/farrier/hoof-nipper-tennyson-15inch,/horse/stable/farrier/horseshoe-hack-concave-daily-trainer-1,Premium 15-inch Hoof Nipper by Tennyson,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/hoof-trimming-kit,P3,1,1,/horse/stable/farrier/hoof-trimming-kit,/horse/stable/farrier/horseshoe-hack-concave-daily-trainer-1,All-in-One Hoof Trimming Kit,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/hygain-digest-protect,P3,1,1,/horse,/news/ulcer-treatments-for-horses,CLICK TO VIEW PRODUCT,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/in-sandout-intestinal-sand-removal-pellet,P3,1,1,/horse/supplements/in-sandout-intestinal-sand-removal-pellet,/news/sand-colic-in-horses,View in-sand out from EAC Animal Care,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/in-silver-spray-on-bandage-for-horses-cattle-dogs-other-pets-animals,P3,1,1,/horse/veterinary/in-silver-spray-on-bandage-for-horses-cattle-dogs-other-pets-animals,/news/horse-spray-on-bandage-application-in-silver-eac-animal-care,In-Silver Spray On Bandage here,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/io-essential-wormer-paste,P3,1,1,/horse/stable/wormers/io-essential-wormer-paste,/news/how-often-to-worm-horses,View the IO Essential Wormer Paste,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/kask-dogma-velvet-light,P3,1,1,/horse,/news/best-horse-riding-helmet-australia,Dogma,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/kask-star-lady,P3,1,1,/rider/helmets/kask-star-lady,/news/best-horse-riding-helmet-australia,Star Lady,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/kelato-biotin-max-concentrate,P3,1,1,/horse,/news/horse-gut-health,biotin,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/kelato-gastroaid-recovery,P3,1,1,/horse/supplements,/news/kelato-gastroaid-review,Kelato GastroAid,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/kooki-helmet-shine,P3,1,1,/rider/helmets/kooki-helmet-shine,/news/kask-kooki-lady-review,,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/kooki-lady-helmet-matt,P3,1,1,/rider/helmets/kooki-lady-helmet-matt,/news/kask-kooki-lady-review,Kask Kooki Lady Helmet,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/lemieux-junior-loire-close-contact-saddlepad,P3,1,1,/horse/saddles,/horse/pads/lemieux-junior-pro-gp-jump-square,LeMieux Mini Loire Jump/GP Saddlepad,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/lemieux-merino-half-lined-jumping-square,P3,1,1,/horse,/horse/pads/lemieux-junior-pro-gp-jump-square,Half Lined Jumping Square in Merino+ by LeMieux,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/lemieux-vogue-fleece-headcollar-with-leadrope,P3,1,1,/horse,/news/horse-halter-types,View the Lemieux Vogue Fleece Headcollar,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/lemieux-x-grip-silicon-half-pad,P3,1,1,/horse,/horse/pads/lemieux-junior-pro-gp-jump-square,Half Pad with X-Grip Silicon by LeMieux,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/luggage-coat-bag-bling,P3,1,1,/rider/luggage/luggage-coat-bag-bling,/rider/luggage/bags/luggage-coat-bag-heritage,Luggage Bling Coat Bag,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/medi-vet-wrap-cohesive-bandage,P3,1,1,/horse/boots/bandages/medi-vet-wrap-cohesive-bandage,/news/diy-ice-boots-for-horses,vet wrap,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/paw-essential-mousse-150ml,P3,1,1,/horse,/pet/dog/supplements/pooch-puree-for-both-mature-younger-dogs,Paw Essential Mousse 150ml,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/pei-titan-300g-turnout-rug-with-neck-cover,P3,1,1,/horse/rugs/pei-titan-300g-turnout-rug-with-neck-cover,/news/best-winter-horse-rugs,PEI Titan 300g Turnout Rug with Neck Cover,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/proud-aid-100gm,P3,1,1,/horse/veterinary/first-aid/proud-aid-100gm,/news/horse-skin-conditions,Proud Aid,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ranvet-salt-block-iodised-2kg,P3,1,1,/horse/supplements/ranvet-salt-block-iodised-2kg,/news/salt-lick-horse,CLICK HERE TO VIEW THE RANVET SALT BLOCK,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/ranvet-white-healer-100gm,P3,1,1,/horse/veterinary/first-aid/ranvet-white-healer-100gm,/news/rain-scald-in-horses,White Healer,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/rogz-classic-dog-collar-padded-pink,P3,1,1,/horse,/news/how-tight-should-a-dog-collar-be,ROGZ CLASSIC DOG COLLAR PADDED PINK,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/saddle-bag-combo-insulated,P3,1,1,/horse/stock-western/saddle-bag-combo-insulated,/rider/luggage/bags/luggage-coat-bag-heritage,Saddle Bag Combo Insulated,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/salt-block-007-each,P3,1,1,/horse/supplements/salt-block-007-each,/news/salt-lick-horse,Ranvet salt lick for horses,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/samshield-miss-shield,P3,1,1,/rider/helmets/samshield-miss-shield,/news/best-horse-riding-helmet-australia,Miss Shield,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/samshield-shadowmatt-flower-leather-top,P3,1,1,/rider/helmets/samshield-shadowmatt-flower-leather-top,/news/samshield-helmet-review,Samshield Shadowmatt Helmet,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/samshield-shadowmatt-helmet,P3,1,1,/rider/helmets/samshield-shadowmatt-helmet,/news/best-horse-riding-helmet-australia,Shadowmatt,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/thinline-breakaway-halter,P3,1,1,/horse/halters/leads/thinline-breakaway-halter,/news/horse-halter-types,View the Thinline Breakaway Halter,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/tucci-harley-short-boot,P3,1,1,/clothing/footwear/boots/tucci-harley-short-boot,/news/best-boots-for-horse-riding,jodhpur boot,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/vetsense-electrolyte-paste-60ml,P3,1,1,/horse,/news/salt-lick-horse,electrolytes,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/waldhausen-boot-bag,P3,1,1,/rider/luggage/waldhausen-boot-bag,/rider/luggage/bags/luggage-coat-bag-heritage,Waldhausen Boot Bag,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/products/zilco-explorer-200-combo,P3,1,1,/horse/rugs/zilco-explorer-200-combo,/news/best-winter-horse-rugs,Zilco Explorer 200 Combo,content,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/rapid-search-results,P3,1,1,/horse,/pages/rapid-search-results,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
3xx,/rider/accessories/water-bottles,P3,1,1,,/accessories/gift-cards,"Water Bottles Stay hydrated with our range of durable water bottles, ideal for riders. Browse Collection",content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/rider/helmets/brims,P3,1,1,,/rider,helmet brims,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/rider/jewellery/pendants/horseshoe-keepsake-memorial-necklace-2,P3,1,1,,/rider/jewellery/pendants/horseshoe-memorial-keepsake-with-horsehair,Horseshoe Keepsake Memorial Necklace,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/rider/luggage/saddle-bags,P3,1,1,,/rider,saddle bags,content,Temporary Redirect,"Resolve final 200 destination for bad_url, then replace internal links directly to that final URL"
3xx,/rider/luggage/waldhausen-boot-bag,P3,1,1,/rider/luggage/bags/waldhausen-boot-bag,/products/waldhausen-boot-bag,,other,Permanent Redirect,Replace all internal links pointing to bad_url with recommended_url
4xx,/accessories/gifts/2025-vip-gift,P3,1,1,,/brands/hitchley-harrow,No image 2025 VIP GIFT $8.00 Out of stock,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/accessories/gifts/christmas-tree,P3,1,1,,/brands/hitchley-harrow,No image Christmas Tree $47.00,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/accessories/gifts/hw-cabbage-bowl-small,P3,1,1,,/brands/hitchley-harrow,No image HW Cabbage Bowl Small $20.00,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/accessories/hats/hw-3x3-fr-horn-sunburst,P3,1,1,,/brands/hitchley-harrow,No image HW 3X3 FR HORN SUNBURST $28.00,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/accessories/socks/knitted-socks,P3,1,1,,/clothing/accessories/socks/woof-socks-competition-black,Knitted Socks,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/kids/tops/thomas-cook-buttercup-girls-tee,P3,1,1,,/clothing/mens/jeans/thomas-cook-willa-girls-boot-cut-jean,Thomas Cook Buttercup Girls Tee,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/tops/shirts/ojai-shirt-l,P3,1,1,,/clothing/tops/shirts/bluebell-shirt,Ojai Shirt L,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/tops/shirts/rm-williams-undara-classic-oxford-shirt,P3,1,1,,/clothing/tops/shirts,RM Williams Undara Classic Oxford Shirt,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/clothing/tops/vests/pilbara-mens-vest,P3,1,1,,/clothing/tops/vests/pilbara-womens-vest-black,Pilbara Men's Vest,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/collections/horse-rugs/zilco,P3,1,1,/,/news/best-winter-horse-rugs,Zilco Crusader 200 Combo - Red/Navy,content,Gone,Broken internal link. Replace with recommended_url from redirect map
4xx,/collections/saddles/jumping+equipe,P3,1,1,/horse,/news/best-jumping-saddle-brands,Equipe saddles,content,Gone,Broken internal link. Replace with recommended_url from redirect map
4xx,/collections/strapping/stock-western-girths,P3,1,1,/horse,/news/how-to-tell-if-your-horse-is-overweight,girth,content,Gone,Broken internal link. Replace with recommended_url from redirect map
4xx,/customer-reviews-section,P3,1,1,,/pet/dog/treats/blackdog-roo-meat-balls-250gm,customer reviews section,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/customer-reviews/eurohunter-products,P3,1,1,,/horse/training/lungeing/training-lead-snap-23ft-7-01mt-eurohunter-black,customer reviews,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse-bridle-buying-guide,P3,1,1,,/horse/tack/bridles/academy-snaffle-leather-bridle,horse bridle buying guide,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse-care-tips-and-tricks,P3,1,1,,/horse/boots/bandages/kentucky-horsewear-polar-fleece-bandages-velvet,horse care guide,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/accessories,P3,1,1,,/horse/stable/diy,Horse Accessories Discover a variety of accessories to complement your equestrian lifestyle. Browse Collection,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/bonnets/animo-widos-saddle-pad,P3,1,1,,/horse/bonnets/animo-cidos-fly-hood,Animo Widos Saddle Pad,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/boots/tendon,P3,1,1,,/,tendon boots,homepage_content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/grooming/coat-care/blue-ribbon-conditioner-1l,P3,1,1,,/horse/grooming/coat-care,Blue Ribbon Conditioner,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/grooming/equidae-soothing-calm-aloe-vera-spray-500ml,P3,1,1,,/products/equidae-soothing-calm-aloe-vera-spray-500ml,,other,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/grooming/plaiting/plaiting-thread-spool-brown,P3,1,1,,/horse/grooming/plaiting,threads,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/halters/pei-techno-wool-lined-head-collar,P3,1,1,,/horse/halters,PEI Techno Wool Lined Head Collar,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/pads/jumping/animo-widos-jumping-saddle-pad,P3,1,1,,/brands/the-equestrian,No image Animo Widos Jumping Saddle Pad $0.00,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/rugs/horseware-rambo-summer-series-turnout,P3,1,1,,/horse/rugs/amigo-bravo-12-plus-medium-turnout-rug,Horseware Rambo Summer Series,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/rugs/pei-titan-300g-turnout-rug-with-neck-cover,P3,1,1,,/products/pei-titan-300g-turnout-rug-with-neck-cover,,other,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/saddle-buying-guide,P3,1,1,,/horse/saddles/all-purpose/thorowgood-t8-gp,saddle buying guide,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/saddles/accessories/saddle-fit-and-adjustment,P3,1,1,,/horse/saddles/accessories,Saddle Fit and Adjustment,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/saddles/stock-western/montana-western-saddle-brown-14,P3,1,1,,/horse/saddles/stock-western,stock & western saddles,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/stable/fly-repellant,P3,1,1,,/,fly repellent,homepage_content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/stable/stable-accessories,P3,1,1,,/horse/stable/wrap-bags,Stable Accessories Discover essential accessories for maintaining a well-organized stable. Browse Collection,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/horse/tack/stirrup-leathers/stirrup-leathers-pvc-horsesense-1-brown-56,P3,1,1,,/horse/tack/stirrup-leathers,PVC Horsesense leathers,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/news/laminitis-horse,P3,1,1,/horse,/blogs/news/laminitis-horse,,other,Not Found,Broken internal link. Replace with recommended_url from redirect map
4xx,/pet/dog/toy-care-guide,P3,1,1,,/pet/dog/toys/chuckit-chuckballs-tennis,dog toy care guide,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/pet/food-storage-tips,P3,1,1,,/pet/dog/treats/blackdog-roo-meat-balls-250gm,pet food storage guide,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/pet/supplements/precision-microbes-pet,P3,1,1,,/pet/supplements/probiotics,Precision Microbes - Pet,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/product-care-guides/training-leads,P3,1,1,,/horse/training/lungeing/training-lead-snap-23ft-7-01mt-eurohunter-black,product care guide,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/products/grey-mia-phone-pocket-breech-by-qj-riding-wear,P3,1,1,,/clothing/womens/breeches/kate-breech-black-sale,Grey Mia Phone Pocket Breech by QJ Riding Wear,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/products/lemieux-rubber-bell-boots,P3,1,1,,/horse/boots/bell-boots/hologram-bell-boots,Lemieux Rubber Bell Boots,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/products/maxwell-bell-boots,P3,1,1,,/horse/boots/bell-boots/hologram-bell-boots,Maxwell Bell Boots,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/products/qj-riding-wear-millie-winter-breech,P3,1,1,,/clothing/womens/breeches/kate-breech-black-sale,QJ Riding Wear Millie Winter Breech,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/products/sale-navy-lauren-breech-by-qj-riding-wear,P3,1,1,,/clothing/womens/breeches/kate-breech-black-sale,SALE: Navy Lauren Breech by QJ Riding Wear,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rewards-program,P3,1,1,,/accessories/gifts/h-h-vip-baby-pink-bath-towel-reward,rewards program,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rider/accessories/hatbands/classic-adjustable-horsehair-hatband,P3,1,1,,/brands/living-horse-tales-jewellery-by-monika,No image Classic adjustable horsehair hatband $197.90,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rider/accessories/hw-picnic-mat-tropicana-2m-x-2m,P3,1,1,,/brands/hitchley-harrow,No image HW Picnic Mat Tropicana 2M x 2M $127.95,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rider/helmets/cromo-2-0-configurator-front-panel-options-2,P3,1,1,,/rider/helmets/accessories/cromo-2-0-matt-black-polo-visor,Cromo 2.0 Configurator Front Panel Options,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rider/helmets/kep-smart-helmet-blue-5,P3,1,1,,/rider/helmets/woof-hat-cover-electric-blue-navy,Kep Smart Helmet Blue,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rider/helmets/samshield-helmet-safety-features,P3,1,1,,/rider/helmets/samshield-premium-standard,safety features,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/rider/luggage/bags/smoothie-cup-stainless-cobalt-check-500ml,P3,1,1,,/brands/hitchley-harrow,No image Smoothie Cup Stainless Cobalt Check 500ML $37.95 Out of stock,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
4xx,/saddle-maintenance-tips,P3,1,1,,/horse/saddles/all-purpose/thorowgood-t8-gp,saddle maintenance guide,content,Not Found,"Broken internal link with no redirect-map match. Resolve destination manually, then update source links"
